t_cell_type,treatment,reference,n_treatment,n_reference,median_treatment_umi_per_10k_dc_dcbc_umi,median_reference_umi_per_10k_dc_dcbc_umi,geomean_treatment_umi_per_10k_dc_dcbc_umi,geomean_reference_umi_per_10k_dc_dcbc_umi,common_language_effect_treatment_gt_reference,p_value,p_adj_bh_by_t_cell_type,q_label
OTI,LPS,no_treatment,2872,4917,1.1691693822795932,0.30263137984777644,1.3968689520652349,0.3469331654040256,0.7430112145741878,2.4605941370200867e-281,7.38178241106026e-281,q<0.001
OTI,PolyIC,no_treatment,5835,4917,0.31332033735064496,0.30263137984777644,0.3582511636495195,0.3469331654040256,0.5069431047243714,0.21410192825211638,0.21410192825211638,q=0.214
OTI,IFNg,no_treatment,4750,4917,0.5029629909053513,0.30263137984777644,0.5936600270296493,0.3469331654040256,0.5932986523661197,8.014638972708078e-57,1.2021958459062118e-56,q<0.001
C57BL6,LPS,no_treatment,318,518,0.5725716998272355,0.10600069960461739,0.5948164764880248,0.12474185272099282,0.8563050921541487,3.6088891531426607e-67,1.0826667459427982e-66,q<0.001
C57BL6,PolyIC,no_treatment,591,518,0.11395414029577935,0.10600069960461739,0.1257991546646295,0.12474185272099282,0.5086300949245112,0.6196181240306997,0.6196181240306997,q=0.620
C57BL6,IFNg,no_treatment,659,518,0.16615573777301465,0.10600069960461739,0.21073072921951796,0.12474185272099282,0.62749222233289,5.55863158852676e-14,8.33794738279014e-14,q<0.001
