comparison,peptide_group,reference,gene,total_counts,pct_group,pct_reference,pct_delta,detection_log2_odds_ratio,mean_norm_group,mean_norm_reference,mean_log1p_group,mean_log1p_reference,avg_log1p_diff,log2fc_mean_norm,welch_t,welch_df,cohen_d_log1p,p_value,tested,padj_bh,n_group_cells,n_reference_cells,is_sig_0p25,is_sig_0p5,gene_program,gene_order,peptide_order,is_sig_abs0p5_fdr0p05,plot_size,x,y,gene_centered_log2fc_z,percent_detected
Q4R7_vs_no_interaction,Q4R7,no_interaction,Pcna,4504,0.7841409691629968,0.45007507507506567,0.33406589408793114,2.0973366281322776,3.1735134432926713,1.74025425326594,1.1980685037689878,0.6599998232216454,0.5380686805473424,0.8309347979037658,10.479027852804313,271.9309058628923,0.6849608859701891,8.354889281317836e-22,True,2.5134741108893596e-20,227,2664,True,True,Proliferation,1,5,True,61.45814977973577,5,30,0.7443965222556256,78.41409691629968
T4_vs_no_interaction,T4,no_interaction,Pcna,5682,0.7875894988066875,0.45007507507506567,0.3375144237316218,2.1257856113331206,2.9666109438801684,1.74025425326594,1.163976286832599,0.6599998232216454,0.5039764636109535,0.7367400400270717,13.312196309245694,593.4153631670288,0.6469755367022112,1.4432807646263782e-35,True,4.929478726664554e-34,419,2664,True,True,Proliferation,1,6,True,61.7064439140815,6,30,0.19253404626441345,78.75894988066875
Q7_vs_no_interaction,Q7,no_interaction,Pcna,4788,0.7972508591065269,0.45007507507506567,0.34717578403146127,2.207227868337053,3.087470918704247,1.74025425326594,1.1886697196929028,0.6599998232216454,0.5286698964712574,0.7925070736893753,11.80168802158189,370.8786136300631,0.6754373885872135,1.650058826233984e-27,True,8.649830846960283e-26,291,2664,True,True,Proliferation,1,7,True,62.40206185566994,7,30,0.5192585261537425,79.7250859106527
Q4H7_vs_no_interaction,Q4H7,no_interaction,Pcna,5456,0.8058252427184464,0.45007507507506567,0.3557501676433807,2.2818197373384246,2.997168651602368,1.74025425326594,1.1836267746587772,0.6599998232216454,0.5236269514371318,0.7510448391822787,14.02364210524842,589.7294872234418,0.6738898615999827,9.14479291713714e-39,True,4.413886714671526e-37,412,2664,True,True,Proliferation,1,8,True,63.01941747572814,8,30,0.2763421270780354,80.58252427184463
V4_vs_no_interaction,V4,no_interaction,Pcna,4812,0.8024691358024721,0.45007507507506567,0.3523940607274065,2.252351200567497,2.914965750020827,1.74025425326594,1.1626352409850789,0.6599998232216454,0.5026354177634335,0.7122365074872461,12.224495585525371,433.7101883152356,0.645246976927637,9.83506668563146e-30,True,4.096768360665051e-28,324,2664,True,True,Proliferation,1,9,True,62.77777777777799,9,30,0.04897425118896798,80.24691358024721
D4_vs_no_interaction,D4,no_interaction,Pcna,4139,0.741525423728812,0.45007507507506567,0.29145034865374636,1.7684005380622296,2.6059406021866804,1.74025425326594,1.0478353285376663,0.6599998232216454,0.38783550531602085,0.5562250654864452,7.825335716849602,286.7931059508689,0.49448309072169366,9.80152728254452e-14,True,2.4193878019318676e-12,236,2664,True,True,Proliferation,1,10,True,58.38983050847447,10,30,-0.8650560261458567,74.1525423728812
G4_vs_no_interaction,G4,no_interaction,Pcna,3833,0.8153846153846134,0.45007507507506567,0.3653095403095477,2.3678048893367367,2.8532302477474207,1.74025425326594,1.1644014974810402,0.6599998232216454,0.5044016742593947,0.6823887344302639,8.424903743407421,147.6065321641938,0.6434512105785098,2.9541221440343856e-14,True,9.900559717974235e-13,130,2664,True,True,Proliferation,1,11,True,63.70769230769216,11,30,-0.12589605277861068,81.53846153846133
E1_vs_no_interaction,E1,no_interaction,Pcna,3842,0.7514450867052044,0.45007507507506567,0.3013700116301387,1.8416333801176579,2.393171758242814,1.74025425326594,1.0297572601479361,0.6599998232216454,0.3697574369262907,0.43807716989028944,6.959111362056349,204.37518936021928,0.4724449449918261,4.5590536113478815e-11,True,1.2794718248534284e-09,173,2664,True,False,Proliferation,1,12,False,59.104046242774714,12,30,-1.5572536777624981,75.14450867052044
CATNB_vs_no_interaction,CATNB,no_interaction,Pcna,3791,0.7222222222222207,0.45007507507506567,0.272147147147155,1.6306904705960301,2.6720561103317007,1.74025425326594,1.0509709967359033,0.6599998232216454,0.3909711735142579,0.5910513542256415,6.075496941407376,160.60395302759787,0.49650052647317117,8.64805527431208e-09,True,3.244450158490883e-07,144,2664,True,True,Proliferation,1,13,True,56.999999999999886,13,30,-0.6610178995405862,72.22222222222207
LCMV_vs_no_interaction,LCMV,no_interaction,Pcna,3606,0.7165354330708651,0.45007507507506567,0.2664603579957994,1.591210940892738,2.5844041105027116,1.74025425326594,1.0310942017407339,0.6599998232216454,0.37109437851908844,0.5446967656333614,5.531300695119949,140.17321663816338,0.4714815289100032,1.509261566358388e-07,True,7.992797711839629e-06,127,2664,True,True,Proliferation,1,14,True,56.590551181102285,14,30,-0.9325973229685546,71.65354330708651
TB_vs_no_interaction,TB,no_interaction,Pcna,3716,0.6687116564417176,0.45007507507506567,0.21863658136665193,1.2751717528479842,2.2534646171798176,1.74025425326594,0.9292036875852051,0.6599998232216454,0.2692038643635597,0.3548810574715235,4.500764535649283,185.40463221872696,0.3422521170893342,1.1936068519905169e-05,True,0.00019125418362340906,163,2664,True,False,Proliferation,1,15,False,53.14723926380367,15,30,-2.044677963648616,66.87116564417175
MCMV_vs_no_interaction,MCMV,no_interaction,Pcna,3506,0.6753246753246754,0.45007507507506567,0.22524960024960977,1.3173895496080414,2.725123677422501,1.74025425326594,1.0177187731470083,0.6599998232216454,0.3577189499253629,0.6184089210531857,3.8316881402630796,80.2481097494539,0.45284577957611055,0.00025157121867054805,True,0.003623258432424875,77,2664,True,True,Proliferation,1,16,True,53.62337662337663,16,30,-0.5007370632512975,67.53246753246755
multi_peptide_vs_no_interaction,multi_peptide,no_interaction,Birc5,6923,0.26326010438159464,0.04016516516516507,0.22309493921642956,2.822650301019612,0.29390616357943966,0.0773489519528733,0.1789762054328904,0.03861659774361609,0.1403596076892743,1.151261186789384,25.184075374468822,7604.877420077499,0.43925659507861653,1.7256083680956198e-134,True,1.6862006116008808e-133,8239,2664,True,True,Proliferation,2,0,True,23.954727515474815,0,29,1.3486400510399144,26.326010438159464
N4_vs_no_interaction,N4,no_interaction,Birc5,495,0.20386266094420566,0.04016516516516507,0.16369749577904058,2.358640240547448,0.23239562285228255,0.0773489519528733,0.14381065706854165,0.03861659774361609,0.10519405932492557,0.9063105794577258,6.828250776251375,535.9589844307956,0.4593477941924313,2.336786258815249e-11,True,1.0004860247485044e-10,466,2664,True,True,Proliferation,2,1,True,19.678111587982805,1,29,0.7343506693794951,20.386266094420566
A2_vs_no_interaction,A2,no_interaction,Birc5,396,0.18630136986301352,0.04016516516516507,0.14613620469784844,2.2039349195321423,0.21484383174926658,0.0773489519528733,0.13266910205031876,0.03861659774361609,0.09405250430670267,0.8280455984605676,5.58808967964931,409.82242070573216,0.4202313763040477,4.1936261860394726e-08,True,1.6590034384068179e-07,365,2664,True,True,Proliferation,2,2,True,18.413698630136974,2,29,0.5380770315790672,18.630136986301352
Y3_vs_no_interaction,Y3,no_interaction,Birc5,424,0.1937984496124029,0.04016516516516507,0.1536332844472378,2.271198893753107,0.23490244602300062,0.0773489519528733,0.1423770522526957,0.03861659774361609,0.10376045450907961,0.9171501084141547,6.0659352387938394,432.9010487775738,0.4566347187050053,2.863371366856562e-09,True,1.4408338347600912e-08,387,2664,True,True,Proliferation,2,3,True,18.95348837209301,3,29,0.7615341396009807,19.379844961240288
Q4_vs_no_interaction,Q4,no_interaction,Birc5,466,0.21149897330595505,0.04016516516516507,0.17133380814078997,2.422987017447329,0.31010039596125805,0.0773489519528733,0.15424505178976047,0.03861659774361609,0.11562845404614439,1.209386331957154,6.6428524005690175,542.7957574137288,0.47834422560432993,7.490070133450282e-11,True,3.360014802844784e-10,487,2664,True,True,Proliferation,2,4,True,20.227926078028766,4,29,1.4944068236680255,21.149897330595504
