gene,N4,A2,Y3,Q4,T4,V4,G4,D4,Q4R7,Q4H7,Q7,E1,CATNB,LCMV,TB,MCMV,multi_peptide,no_interaction
Cd2,-2.1131316863126264,-1.1463919519594825,-1.0732734973069886,-0.6425603849215359,-0.4273879338041526,0.6279752033473435,1.1177521832425599,0.6910319030320907,-0.8519447659654199,0.7964145587245428,-0.6119033329782358,1.2620871476888254,0.29541826675725863,1.696016265578958,1.137419271940263,0.18745757090621534,-0.850164893869174,-0.09481392410043468
Cd3d,-0.9492413953720096,-0.5481222022823065,-1.3638994692562956,0.007972104647391976,-0.9141545775107877,0.5484921352765901,2.0990246755138893,0.72336986647451,-0.4292128465253595,0.1519050728434908,-0.17050757645995562,1.215037904475808,1.1244040430443099,-0.4387209440821794,0.7123364725311917,-0.4269611589908648,0.7632326123655876,-2.1049547166930203
Cd3e,-0.6156951183792825,-0.780793889373977,-1.2516806154880793,-0.22100496540851589,-0.03818399584107342,0.05244064853279691,-0.7155515804457508,2.315597005111796,0.09679467912927,-0.8842707935914799,-0.09642086279764579,1.4882526560326035,1.3765104868473652,0.45215976706988925,1.3165408469502806,-0.583175162811576,-0.45452658207564256,-1.4569925234609786
Cd3g,-1.123557726078091,-1.3282162630228642,-1.372118782142996,-0.4106218085283895,-0.7338785318319412,0.29736930035077397,1.9698938984918835,1.049569197600706,-0.623472393506222,0.22223517072339516,0.16232288462125663,1.6290332374914718,0.2001157248440693,0.8633928319732085,1.3241827726140123,-0.8904907528723255,-0.39497328220098005,-0.8407854785269872
Cd247,0.5897794961880751,0.8869938031215608,1.5290817907918162,-0.3946682012437934,1.0852651426882316,-0.8922276086116422,0.08196796667892345,-0.3158016434366674,-1.0183044905541974,0.3916018559615474,-0.5966503882625411,-0.43545746871131213,0.3822867272216741,-0.95763151594351,-1.245767594355597,-1.368435941811442,-0.1787778499060889,2.4567459201849697
Trac,0.6299582429400141,0.2623823206780261,0.2374447773456278,0.5104111685642935,0.19708625947792344,0.38072375349494364,0.6105613177664753,0.12538106108134023,0.47602752837425916,0.04105948087510256,0.23391451410827957,0.19401692081755836,-0.5993704584318239,-0.20765408761209647,-0.6786656751725304,-0.1141740122470841,1.3808177113746514,-3.679920823434953
Trbc1,-0.39733881331453436,-0.05506454165347288,-0.38326953643673217,0.7331938146243361,-0.046101124006798694,-0.014042324240105817,1.7098774553641944,-0.40735610937902145,0.459874989543948,0.625697307491543,0.16309283341318417,0.4440586366338577,1.6303968523435532,0.08650040236687695,-1.22154260028266,-1.832899287487677,0.7691873966561562,-2.2642653516366575
Trbc2,0.3027568764976717,0.2190017033666032,-0.8100535118482362,0.2800843946634314,-0.3161271907673068,0.4391662505240637,0.6690579154778095,1.0180519646465689,-0.011077727583641518,0.4254477940871157,-0.3742937397721396,0.5181569926154764,-0.6872891662154685,-0.1518497763555043,0.9031035097395774,-0.06705087603719292,1.1307556193719526,-3.4878410324107882
Cd4,-0.28153076781739617,-0.28153076781739617,-0.28153076781739617,-0.28153076781739617,-0.28153076781739617,-0.28153076781739617,-0.28153076781739617,4.0669942593847574,-0.28153076781739617,-0.28153076781739617,-0.28153076781739617,-0.28153076781739617,-0.28153076781739617,-0.28153076781739617,-0.28153076781739617,-0.28153076781739617,0.437498025693581,-0.28153076781739617
Cd8a,-1.5122180509961158,-1.6917691571480042,0.31485895845183837,0.006238831175978031,0.46523108002702257,1.121794913403005,-0.4068207972017753,0.31803646654751155,0.2164657012177288,1.3003638607810069,0.5274136652308052,0.46254191397499866,-0.07224627574954082,0.43060916204453226,0.3480311794258272,0.06836338470192793,0.877061093797112,-2.7739559296838747
Cd8b1,-0.9713438823588355,-0.7251510388530984,0.7579468889753372,0.29316114605557486,1.0776224065324636,0.7184364497027291,-0.000783930946417076,-1.0223637523784244,1.1302465342877137,1.3697267415907484,0.34593067964144786,0.37739266650914927,-0.9853907247434959,-0.045201417535973405,-0.9069099249977355,-1.1013846309236406,1.6708670104091576,-1.9828012209667247
Lck,-2.2775254275148002,-1.1139540381786097,-0.6498230258192853,-0.2169860785848422,-1.1707847939494467,0.4534540142580598,0.37204771108212054,1.323064169696887,-0.4808451914421977,-0.07681408653476965,-0.5141848476092895,0.571631950535124,-0.008523910775537847,1.405510657498618,1.5117754762377398,1.5176403470001822,-0.4577682686955307,-0.18791465720443357
Fyn,-0.3771842496727468,-0.8956713354963851,1.2017027797128217,-0.8320924533327158,-0.08310510302014555,0.5462164809713992,-1.352606148569794,-0.057340294752673285,0.22192564928082828,0.47320647093100265,-0.5800847183369191,0.7833568593452704,-0.23043523340006883,-0.3563578698937286,-0.160149586271059,1.410129039511481,-2.0146679929620173,2.3031577059554427
Zap70,1.8969857133312302,0.806969456781899,0.40512599101546387,0.8342504980722253,0.9134228891120262,0.057805623276371954,0.19502543233446237,-0.3500705566498999,0.9762851903934955,0.01013449688736169,0.1140888447926722,-0.6138726284437299,-0.8560487466130758,-0.42666531229926136,-1.5085983835564964,-1.203617568147138,0.9754176386176162,-2.226638578905227
Lat,-0.8582124506393344,-0.19401669525211526,-0.4562902046951087,0.1140030772174227,-0.053077509072421133,0.7661182291749922,1.4277983793472517,0.29021653321877344,-0.31700711538887777,0.41325562717045494,0.1495029086204112,0.04015421548935851,-0.07843656664521442,0.5668262619047355,-0.5706119371114211,0.8243487321451486,1.2625982643459854,-3.3271697498300283
Lcp2,-0.18616000394543894,-1.0129795275427387,-0.9913907811258562,0.4213329044230265,-1.4264300730785473,-1.447416218970878,0.31886085168723777,1.0867187438491166,-0.12051316890062651,0.2514661421927587,-0.024871143657201774,1.8394084150725551,0.19948934998667234,0.7166870642853599,-0.31638497365726764,2.242175286115068,-0.6687697798487234,-0.8812230868845353
Themis,-1.5603468122298907,-1.6379676024749885,0.205211477990375,-1.0191113774464042,-0.2386749780213833,0.3077753631624787,-0.23480517538418708,0.1771436461320326,-1.2109812958433241,0.9075183833191206,-0.27248413343186406,-0.07161807250029771,0.8475212200748887,1.9011105530378922,0.9326408254145505,0.11427526757108832,-0.9180392843079501,1.770831994937861
Ptpn6,0.1641918070271903,-0.5835406556172601,-0.10393964562760685,0.33382292998380825,0.47982447433257347,0.7147929219888444,0.8067895207019449,0.08148203159035448,0.20261189040016603,0.45938255349392326,0.40977214354221786,0.7215807579444402,-0.6893765756541922,-0.08891503836677771,-0.9043434651761144,0.20574045433550092,1.2810425387265831,-3.490918643625613
Ptpn22,-0.5821636459277798,-0.7305664406166784,0.11416977125588124,-1.4038445094911642,-1.0312992464293782,0.12505529481575917,1.3981107618392874,0.4132012495569336,0.15252307886557398,-1.1842788394345536,-0.20430107869033098,0.9483937724398237,-0.4786160975454506,1.0945033594909777,1.7669858435578585,0.13121452005705223,-1.824267366859399,1.295179573115597
Sell,-1.014327260706677,-1.1549307096441968,-0.9849437119465717,-0.7815385303408005,-0.9435800330204867,-0.1576653053111836,0.16907562052451391,0.4800711020060083,-0.61857477016312,-0.1752628140755034,-0.2806099723325087,0.6568241304399187,0.7370536856223828,0.8910596270179068,1.193400670824523,0.6121344078871909,-1.2992259098741357,2.6710397730927387
Ccr7,1.361507915816658,2.045267986900075,1.436544849202813,0.33837363138819765,-0.35008883561418735,-0.7595611022989648,-1.405960579334829,-1.1176604407029338,0.3739073205830094,0.3406163325089877,-0.3343938258586701,-0.6335917248034657,-0.8880629389395507,0.7390141254669439,-0.6298729469311013,-1.2621470451233336,1.2355086529643928,-0.4894013752240508
