gene,treatment_group,mean_log1p,z
Stfa3,IFNg,0.5202155300343092,-0.4650323346232332
Lcn2,IFNg,0.037298175377385466,-0.5293873701107448
Cd37,IFNg,0.22294497944204777,-0.21916998566859042
Cd14,IFNg,0.5448748265690974,-0.6604922692435125
Cd74,IFNg,2.5736206506459762,1.3768396798386249
Ly6a,IFNg,2.8252118595381535,1.3780185316421656
Gbp4,IFNg,0.6208197736813383,1.4102029148329427
H2-Aa,IFNg,0.1858910445186544,1.4134156391275396
H2-Eb1,IFNg,0.13339247668488455,1.4142134031155267
H2-Ab1,IFNg,0.12032553675874572,1.414177104405239
Cxcl9,IFNg,1.614856754926883,1.1906438381553262
H2-DMb1,IFNg,0.20314896291904985,1.4111069632315791
Selenom,IFNg,0.4979146244391035,1.3704699511424663
Itgb7,IFNg,0.25001796871340554,0.9595098501079331
H2-DMa,IFNg,0.18063816720259243,1.3902726048622112
Id3,IFNg,0.18334700609123078,1.3548350464775223
Asb11,IFNg,0.13540560176991803,1.4142010895200627
Arhgef3,IFNg,0.11490946214319402,1.1756748475054313
Trf,IFNg,0.17950380637798327,0.4670017791247533
Ly6c1,IFNg,0.32896197266597793,1.3318664074599713
Ciita,IFNg,0.05980502217272322,1.3764252694794203
Isg20,IFNg,0.09417703884512807,1.4039150961589972
