sample,raw_total,scale_factor,equalized_total,equalized_share_of_final_K
K1,488022.0,1.2315039076107224,601001.0,0.25
K2,563592.0,1.0663760308875925,601001.0,0.25
K3,677576.0,0.8869868472318972,601001.0000000001,0.25000000000000006
K4,674814.0,0.8906172663874786,601001.0000000001,0.25000000000000006
