gene_id	gene_name	gene_biotype	chrom	strand	reference_count	test_count	reference_cpm	test_cpm	log2_fc	pvalue	fdr	neg_log10_fdr	significant	comparison	reference	test
ENSG00000101417	PXMP4	protein_coding	20	-	93	260	25.818623889556253	27.331644167642633	0.08064208160726884	0.6765385946135893	0.7383500056358572	0.13173771746905674	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000172586	CHCHD1	protein_coding	10	+	500	1352	138.80980585782933	142.1245496717417	0.033925520133697325	0.6770287516522202	0.7388232998173737	0.1314594169370547	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000104714	ERICH1	protein_coding	8	-	101	254	28.039580783281526	26.700913917620113	-0.06930901819328687	0.6774343168950259	0.7392042099763859	0.1312355683513875	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000244541	LINC01213	lncRNA	3	+	16	49	4.441913787450538	5.150963708517265	0.19342708115798776	0.6782483584241334	0.7400307414237292	0.13075023898066448	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000288983	ENSG00000288983	lncRNA	16	+	9	20	2.498576505440928	2.1024341667417414	-0.20441611366157916	0.6788238162670365	0.7401646812915003	0.13067164213494273	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000084734	GCKR	protein_coding	2	+	9	20	2.498576505440928	2.1024341667417414	-0.20441611366157916	0.6788238162670365	0.7401646812915003	0.13067164213494273	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000226471	ENSG00000226471	lncRNA	22	+	9	20	2.498576505440928	2.1024341667417414	-0.20441611366157916	0.6788238162670365	0.7401646812915003	0.13067164213494273	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000303324	ENSG00000303324	lncRNA	3	-	9	20	2.498576505440928	2.1024341667417414	-0.20441611366157916	0.6788238162670365	0.7401646812915003	0.13067164213494273	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000169247	SH3TC2	protein_coding	5	-	9	20	2.498576505440928	2.1024341667417414	-0.20441611366157916	0.6788238162670365	0.7401646812915003	0.13067164213494273	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000295829	ENSG00000295829	lncRNA	6	+	9	20	2.498576505440928	2.1024341667417414	-0.20441611366157916	0.6788238162670365	0.7401646812915003	0.13067164213494273	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
