gene_id	gene_name	gene_biotype	chrom	strand	reference_count	test_count	reference_cpm	test_cpm	log2_fc	pvalue	fdr	neg_log10_fdr	significant	comparison	reference	test
ENSG00000166669	ATF7IP2	protein_coding	16	+	1420	3603	149.4036374945894	504.48703623737526	1.7522109607257537	0.0	0.0	300.0	True	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1
ENSG00000163682	RPL9	protein_coding	4	-	12339	18126	1298.2334387646044	2537.977246416504	0.9668579763243638	0.0	0.0	300.0	False	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1
ENSG00000145425	RPS3A	protein_coding	4	+	8372	11956	880.8501782427481	1674.0624494182787	0.9259969293729318	0.0	0.0	300.0	False	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1
ENSG00000117632	STMN1	protein_coding	1	-	8961	12021	942.8211236542362	1683.1636587869798	0.8357830844268961	0.0	0.0	300.0	False	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1
ENSG00000177954	RPS27	protein_coding	1	+	16361	21600	1721.4034598936455	3024.4018825221497	0.8128840880767815	0.0	0.0	300.0	False	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1
ENSG00000071082	RPL31	protein_coding	2	+	16820	20819	1769.6966075063333	2915.0473514920664	0.7198571511675772	0.0	0.0	300.0	False	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1
ENSG00000133112	TPT1	protein_coding	13	-	28011	31156	2947.144570324608	4362.419678326856	0.565731340402547	0.0	0.0	300.0	False	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1
ENSG00000210082	MT-RNR2	Mt_rRNA	MT	+	120157	129448	12642.1780777728	18125.128467070706	0.5197289187205569	0.0	0.0	300.0	False	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1
ENSG00000177600	RPLP2	protein_coding	11	+	35042	18343	3686.903003581268	2568.3612838473978	-0.5214761119151659	0.0	0.0	300.0	False	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1
ENSG00000198840	MT-ND3	protein_coding	MT	+	35680	18614	3754.029426624612	2606.306325984597	-0.5263486980206683	0.0	0.0	300.0	False	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1
ENSG00000142541	RPL13A	protein_coding	19	+	32779	16235	3448.804108052919	2273.2020630901434	-0.6012621081070219	0.0	0.0	300.0	False	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1
ENSG00000089157	RPLP0	protein_coding	12	-	52922	24594	5568.126270062436	3443.617587905081	-0.693187072001425	0.0	0.0	300.0	False	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1
ENSG00000135486	HNRNPA1	protein_coding	12	+	24104	11169	2536.074139556044	1563.8678067541616	-0.6973015763421145	0.0	0.0	300.0	False	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1
ENSG00000198712	MT-CO2	protein_coding	MT	+	126304	57139	13288.927485997618	8000.523109510792	-0.732022556364214	0.0	0.0	300.0	False	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1
