gene_id	gene_name	gene_biotype	chrom	strand	reference_count	test_count	reference_cpm	test_cpm	log2_fc	pvalue	fdr	neg_log10_fdr	significant	comparison	reference	test
ENSG00000198938	MT-CO3	protein_coding	MT	+	20119	171753	9127.119143859078	20531.51242221472	1.1695645379568163	0.0	0.0	300.0	True	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
ENSG00000156508	EEF1A1	protein_coding	6	-	2840	23406	1288.3850275142788	2797.9748811045965	1.1185172216420298	0.0	0.0	300.0	True	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
ENSG00000137818	RPLP1	protein_coding	15	+	3948	28020	1791.0366509247792	3349.536707192634	0.9029793453901875	0.0	0.0	300.0	False	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
ENSG00000198712	MT-CO2	protein_coding	MT	+	12752	88473	5785.030236219043	10576.144221822053	0.8703608673710213	0.0	0.0	300.0	False	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
ENSG00000142937	RPS8	protein_coding	1	+	4841	32045	2196.1520838720508	3830.68892869336	0.8024857846132918	0.0	0.0	300.0	False	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
ENSG00000089157	RPLP0	protein_coding	12	-	6102	38078	2768.2131823563836	4551.8793267837655	0.7174051659429939	6.695e-321	1.3909124e-317	300.0	False	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
ENSG00000231500	RPS18	protein_coding	6	+	12091	63803	5485.163157632093	7627.069612027538	0.47555740396014057	3.2613265524339917e-262	5.807956686091734e-259	258.2359766311271	False	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
ENSG00000233927	RPS28	protein_coding	19	+	1276	11550	578.8659489817676	1380.6976790890408	1.2533730142191417	9.989480003543656e-240	1.5566107215521902e-236	235.80781998256327	True	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
ENSG00000075624	ACTB	protein_coding	7	-	4919	29776	2231.5373064587106	3559.4505707840067	0.673496069098325	6.99719144078098e-226	9.691887611197299e-223	222.01359163065916	False	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
ENSG00000105193	RPS16	protein_coding	19	-	4119	25321	1868.6119465955333	3026.895751706805	0.6957243027017187	3.104735646542836e-203	3.8703634569802996e-200	199.4122482494645	False	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
ENSG00000122566	HNRNPA2B1	protein_coding	7	-	4486	9739	2035.1039554327658	1164.209064644863	-0.8054872739970367	4.577325752566882e-195	5.18735843922716e-192	191.2850537418271	False	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
ENSG00000164587	RPS14	protein_coding	5	-	1181	10104	535.7685624980153	1207.8415021225687	1.1720006612373635	8.220249085634993e-190	8.539468758460485e-187	186.06856914599078	True	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
ENSG00000198786	MT-ND5	protein_coding	MT	+	3616	7462	1640.4226265815605	892.0143793387379	-0.8785598961753579	1.7412875311653868e-183	1.669760797192901e-180	179.77734573957088	False	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
ENSG00000213719	CLIC1	protein_coding	6	-	598	6536	271.28670649772494	781.3194831624216	1.52436064402676	8.130021737933937e-181	7.239203641791747e-178	177.14030920631637	True	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
ENSG00000130656	HBZ	protein_coding	16	+	947	8495	429.61289473803595	1015.5001544468747	1.2401133325360818	3.8931730079253046e-174	3.235486314453123e-171	170.49006043282836	True	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
ENSG00000087086	FTL	protein_coding	19	+	1962	13911	890.0744450644419	1662.933802061268	0.9013563344223122	1.3281192829246405e-172	1.0347709363086605e-169	168.9851557778469	False	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
ENSG00000130770	ATP5IF1	protein_coding	1	+	2370	4333	1075.1663785946623	517.9708262764341	-1.0528959730009793	8.270944333961565e-165	6.065034827480286e-162	161.2171667009245	True	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
ENSG00000138071	ACTR2	protein_coding	2	+	1856	3030	841.986834882571	362.2090015272548	-1.2158415923787094	1.1601131523008592e-164	8.034428086990284e-162	161.09504503209345	True	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
ENSG00000135535	CD164	protein_coding	6	-	2556	4850	1159.546524762851	579.7734842928006	-0.9993777558761697	1.7280116558545308e-162	1.1337575422043464e-159	158.9454798108233	False	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
ENSG00000188846	RPL14	protein_coding	3	+	1566	11611	710.4263919321693	1387.9896754894244	0.9657443510431528	3.350985940271318e-161	2.0886695365711127e-158	157.68013026743787	False	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
ENSG00000114391	RPL24	protein_coding	3	-	3369	20450	1528.3694217238046	2444.611907997479	0.6774353023241485	3.2671545369398815e-157	1.939445164642503e-154	153.7123224950172	False	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
ENSG00000154518	ATP5MC3	protein_coding	2	-	1251	9785	567.5245314860432	1169.7079471763	1.0427397786140506	1.0754688732156336e-153	6.09399771523004e-151	150.2150977129396	True	Index_6_vs_5	Index 6 ARRB1_2	Index 5 ARRB1_1
