gene_id	gene_name	gene_biotype	chrom	strand	reference_count	test_count	reference_cpm	test_cpm	log2_fc	pvalue	fdr	neg_log10_fdr	significant	comparison	reference	test
ENSG00000210082	MT-RNR2	Mt_rRNA	MT	+	102995	121860	9980.590201297928	12693.931152975829	0.3469264381176	0.0	0.0	300.0	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000198938	MT-CO3	protein_coding	MT	+	242121	269267	23462.405749099038	28049.046116595622	0.2575957319609552	0.0	0.0	300.0	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000198888	MT-ND1	protein_coding	MT	+	44987	49840	4359.403965103063	5191.740757133722	0.25206092334989133	5.0352804477016665e-160	2.4090460088620674e-156	155.61815490560394	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000168209	DDIT4	protein_coding	10	+	10554	6501	1022.7209960143534	677.1971641678637	-0.5944051334584517	1.0074743315865433e-154	3.615069770315414e-151	150.44188331646887	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000211459	MT-RNR1	Mt_rRNA	MT	+	12515	15640	1212.7490302368424	1629.1899165644343	0.4257217799747914	7.298139841024368e-135	2.0950040227644552e-131	130.67881513877754	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000198763	MT-ND2	protein_coding	MT	+	39437	43067	3821.5887739073387	4486.209855286476	0.2312966038970793	1.0004613080530506e-117	2.393270192414239e-114	113.62100826818536	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000231500	RPS18	protein_coding	6	+	46911	49564	4545.846564717579	5162.990346841408	0.18363894506703035	2.3019874716125615e-87	4.7200608828650135e-84	83.3260523994757	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000198899	MT-ATP6	protein_coding	MT	+	60245	62131	5837.959674520061	6472.071528520772	0.14875120166255607	3.886956350362568e-73	6.973685562094242e-70	69.1565376385095	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000213741	RPS29	protein_coding	14	-	5369	6767	520.2756327080788	704.905892927847	0.43779168219385306	1.6517096801101571e-62	2.6341098931801204e-59	58.579366110541216	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000198712	MT-CO2	protein_coding	MT	+	116749	116274	11313.402839082788	12112.047849016179	0.09840567817750835	1.4075693671231486e-61	2.020284312631855e-58	57.69458750841552	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000196565	HBG2	protein_coding	11	-	12632	14199	1224.0867558890764	1479.0836077556523	0.27289623680538017	3.703960114465942e-54	4.832994502084515e-51	50.31578369890534	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000205542	TMSB4X	protein_coding	X	+	19489	21004	1888.5550020204407	2187.947890506354	0.21224332406446045	1.1638620374059225e-49	1.3920759852406005e-46	45.856337058496976	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000071082	RPL31	protein_coding	2	+	12511	13921	1212.361415684629	1450.1248611568726	0.2582597652403922	5.2693193404544214e-48	5.81773388411864e-45	44.235246148214785	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000198840	MT-ND3	protein_coding	MT	+	32370	33574	3136.770763784785	3497.341576645417	0.1569549014602842	1.737757187300215e-44	1.7815734935228562e-41	40.74919625741452	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000167658	EEF2	protein_coding	19	-	25505	20860	2471.527288548994	2172.9476764407996	-0.18570930454020387	1.6319881872400454e-43	1.5615950967637582e-40	39.80643156331198	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000156508	EEF1A1	protein_coding	6	-	64803	55745	6279.646456766926	5806.8537019747055	-0.11291729869500637	3.996188913998462e-42	3.584831217663745e-39	38.445531287126684	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000198034	RPS4X	protein_coding	X	-	25267	26485	2448.4642226923124	2758.893538376537	0.17217952772729614	4.497760252601531e-42	3.797432523858222e-39	38.42050993432532	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000197061	H4C3	protein_coding	6	+	392	808	37.98622611688711	84.16786781228025	1.1374723479198294	9.593225628581333e-41	7.649531524834881e-38	37.11636516123972	True	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000144713	RPL32	protein_coding	3	-	17571	18795	1702.6938242342433	1957.8404400146126	0.2013889626931047	1.784736075648249e-40	1.3482272049357535e-37	36.870236913783586	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000177954	RPS27	protein_coding	1	+	12468	13649	1208.1945592483378	1421.7911234774913	0.23476707779651598	1.5942018794206066e-39	1.1440789787661984e-36	35.941543994023405	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000131469	RPL27	protein_coding	17	+	15277	16414	1480.3968785400111	1709.816067166792	0.20779177760281622	1.09276878370614e-37	7.468814453587727e-35	34.126748329526855	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000112695	COX7A2	protein_coding	6	-	3220	4048	312.02971453157267	421.6726842872654	0.43383987136311697	1.7133317188457412e-37	1.1177931891178603e-34	33.95163854093369	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000143977	SNRPG	protein_coding	2	-	3284	4072	318.2315473669828	424.17271996485783	0.4140096150739909	1.0864168303934161e-34	6.779713376798565e-32	31.168788666237067	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
ENSG00000227706	ENSG00000227706	lncRNA	6	-	25125	20922	2434.7039060887464	2179.406101941246	-0.159776584875694	1.7829917762838808e-32	1.053579909889861e-29	28.97733251927934	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1
