gene_id	gene_name	gene_biotype	chrom	strand	reference_count	test_count	reference_cpm	test_cpm	log2_fc	pvalue	fdr	neg_log10_fdr	significant	comparison	reference	test	label_source	display_label
ENSG00000074219	TEAD2	protein_coding	19	-	148	4	15.571646724788188	0.560074422689287	-3.9222802991768613	9.827163033459503e-31	1.0353165846319427e-29	28.984926829013627	True	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1	extreme_lfc	TEAD2
ENSG00000181444	ZNF467	protein_coding	7	-	148	5	15.571646724788188	0.7000930283616087	-3.7432996076879177	1.0697755507146363e-29	1.0748807702625153e-28	27.968639706621698	True	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1	extreme_lfc	ZNF467
ENSG00000163866	SMIM12	protein_coding	1	-	716	38	75.33310172262394	5.320707015548226	-3.7035614265029944	1.4866250884121318e-124	1.0759449077382803e-122	121.96820996554492	True	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1	extreme_lfc	SMIM12
ENSG00000130382	MLLT1	protein_coding	19	-	569	30	59.866668827057296	4.200558170169652	-3.6828482064540147	1.7388294813915515e-99	8.723023275601805e-98	97.05933296869671	True	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1	extreme_lfc	MLLT1
ENSG00000175061	SNHG29	lncRNA	17	+	3133	186	329.6349269510905	26.04346065505184	-3.636627395742195	0.0	0.0	300.0	True	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1	extreme_lfc	SNHG29
ENSG00000179218	CALR	protein_coding	19	+	897	143	94.376804811723	20.02266061114201	-2.2088376469144713	7.60471378986516e-92	3.453434732809355e-90	89.46174874740319	True	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1	custom	CALR
ENSG00000253154	ENSG00000253154	lncRNA	8	+	10	56	1.052138292215418	7.841041917650017	2.4259705042480872	4.130503070804755e-12	1.7880831985016472e-11	10.747612277592932	True	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1	extreme_lfc	ENSG00000253154
ENSG00000298139	ENSG00000298139	lncRNA	KI270713.1	+	1	21	0.10521382922154182	2.9403907191187564	2.5070555597388995	2.4888742398100727e-07	7.661806919893835e-07	6.115668796581763	True	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1	extreme_lfc	ENSG00000298139
ENSG00000291174	FAUP4	lncRNA	11	+	86	425	9.048389313052596	59.507907410736735	2.6518233260120634	1.8427535977294223e-78	6.6858757164616324e-77	76.17484170075521	True	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1	extreme_lfc	FAUP4
ENSG00000243592	RPL17P22	processed_pseudogene	5	+	7	55	0.7364968045507927	7.701023311977695	2.729545426979553	1.0431726151837644e-13	5.000319648359292e-13	12.301002232247706	True	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1	extreme_lfc	RPL17P22
ENSG00000264229	RNU4ATAC	snRNA	2	+	2	37	0.21042765844308364	5.180688409875904	2.9993061171716744	6.3458180421881804e-12	2.7124419413794818e-11	10.566639548925302	True	Index_10_vs_9	Index 10 USP30_2	Index 9 USP30_1	extreme_lfc	RNU4ATAC
