gene_id	gene_name	gene_biotype	chrom	strand	reference_count	test_count	reference_cpm	test_cpm	log2_fc	pvalue	fdr	neg_log10_fdr	significant	comparison	reference	test	label_source	display_label
ENSG00000204267	TAP2	protein_coding	6	-	120	6	33.31435340587904	0.6307302500225223	-4.902309064608191	3.29412031014402e-59	1.0432710328494862e-57	56.981602850940824	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1	extreme_lfc	TAP2
ENSG00000172005	MAL	protein_coding	2	+	19	2	5.2747726225975144	0.2102434166741741	-3.023378683508991	2.4927334787381386e-09	9.603815582295981e-09	8.017556188094414	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1	extreme_lfc	MAL
ENSG00000214784	RPS3AP21	processed_pseudogene	5	-	45	11	12.492882527204639	1.1563387917079575	-2.9716518338216176	2.6607156191928e-16	1.6605728880463102e-15	14.779742057023391	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1	extreme_lfc	RPS3AP21
ENSG00000172465	TCEAL1	protein_coding	X	+	46	12	12.770502138920298	1.2614605000450445	-2.9133789329615882	3.1959150995183034e-16	1.9868141398146107e-15	14.701842757866663	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1	extreme_lfc	TCEAL1
ENSG00000272420	ENSG00000272420	lncRNA	1	-	32	10	8.883827574901076	1.0512170833708707	-2.596775907633492	7.351736067753075e-11	3.1809694927624946e-10	9.497440495994315	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1	extreme_lfc	ENSG00000272420
ENSG00000139722	VPS37B	protein_coding	12	-	1	85	0.27761961171565863	8.9353452086524	3.6009387927590186	7.218479445716372e-11	3.126414276489078e-10	9.504953474790176	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1	extreme_lfc	VPS37B
ENSG00000204310	AGPAT1	protein_coding	6	-	7	278	1.9433372820096104	29.223834917710203	3.604695327609582	1.2949187479877306e-29	1.5468070523908234e-28	27.810563856506242	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1	extreme_lfc	AGPAT1
ENSG00000215041	NEURL4	protein_coding	17	-	0	57	0.0	5.991937375213962	3.6986490829259293	1.544929586476102e-08	5.5242424797997305e-08	7.257727266855212	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1	extreme_lfc	NEURL4
ENSG00000295208	ENSG00000295208	lncRNA	1	-	0	58	0.0	6.097059083551049	3.7218230258120806	1.667934591148301e-08	5.9461936364730924e-08	7.225760952197601	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1	extreme_lfc	ENSG00000295208
ENSG00000121900	TMEM54	protein_coding	1	-	2	135	0.5552392234313173	14.19143062550675	3.7993328887789986	2.442318844683212e-16	1.5328949370660467e-15	14.814487610191996	True	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1	extreme_lfc	TMEM54
