gene_id	gene_name	gene_biotype	chrom	strand	reference_count	test_count	reference_cpm	test_cpm	log2_fc	pvalue	fdr	neg_log10_fdr	significant	comparison	reference	test	label_source	display_label
ENSG00000240065	PSMB9	protein_coding	6	+	67	10	6.49254374956999	1.041681532330201	-2.1813125989385864	1.0492542992258779e-10	1.185822595022758e-08	7.9259802787336655	True	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1	extreme_lfc	PSMB9
ENSG00000271736	LINC02772	lncRNA	1	+	267	69	25.873271360226674	7.187602573078387	-1.7784708752979659	9.254278719727403e-26	4.1508332020077316e-23	22.38186471805561	True	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1	extreme_lfc	LINC02772
ENSG00000168394	TAP1	protein_coding	6	-	23	3	2.228783675225519	0.31250445969906027	-1.7478103923875932	0.00011077325085613783	0.003463896447795525	2.460435099571319	True	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1	extreme_lfc	TAP1
ENSG00000175634	RPS6KB2	protein_coding	11	+	149	49	14.438642069939231	5.104239508417985	-1.4144584937183553	1.6289941240061605e-11	2.145041528611048e-09	8.668564295333788	True	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1	extreme_lfc	RPS6KB2
ENSG00000113083	LOX	protein_coding	5	-	20	4	1.9380727610656687	0.4166726129320804	-1.411262705520675	0.001796160859297956	0.031052363575133777	1.507905337562402	True	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1	extreme_lfc	LOX
ENSG00000197061	H4C3	protein_coding	6	+	392	808	37.98622611688711	84.16786781228025	1.1374723479198294	9.593225628581333e-41	7.649531524834881e-38	37.11636516123972	True	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1	extreme_lfc	H4C3
ENSG00000254340	ENSG00000254340	lncRNA	8	+	5	16	0.4845181902664172	1.6666904517283216	1.1380032876651915	0.014395469798511123	0.1346950066010557	0.8706485040973864	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1	extreme_lfc	ENSG00000254340
ENSG00000271119	LINC03067	lncRNA	5	+	5	17	0.4845181902664172	1.7708586049613415	1.20574811224591	0.008893390141309649	0.09714370524978493	1.0125853357111723	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1	extreme_lfc	LINC03067
ENSG00000166825	ANPEP	protein_coding	15	-	4	16	0.38761455221313373	1.6666904517283216	1.2874878293793521	0.005849966479106244	0.07263371009914527	1.1388617716938467	False	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1	extreme_lfc	ANPEP
ENSG00000081059	TCF7	protein_coding	5	+	45	122	4.360663712397755	12.708514694428452	1.4422430146955207	9.037277554194333e-11	1.0545694693930997e-08	7.976924805985815	True	Index_8_vs_7	Index 8 C9orf170_2	Index 7 C9orf170_1	extreme_lfc	TCF7
