Peptide,label_x,label_y
N4,2.4404397476543322,2.5143570980077614
A2,1.749160172070828,1.6689093732263176
Y3,0.8102513868739063,0.7989647693831965
Q4,1.187829926472097,1.003141353930253
T4,0.7319758285802553,0.4330421162823819
V4,0.41417321883746494,0.22585275320037135
G4,0.5344550295821628,0.5854070428695892
D4,0.23067025019787213,-0.0459893031628531
Q4R7,0.8535618415807988,1.1884520052448675
Q4H7,0.16116794412682944,0.5104691712847993
Q7,0.9712188958058299,0.8364569909740456
E1,-0.13565130384769564,-0.14890483978092695
CATNB,-0.28137594948799594,0.08993643211462476
LCMV,0.0764623719743649,-0.20127247833361905
TB,0.1720382443870654,0.16454439846876134
MCMV,-0.040893978128922814,0.21892563355583738
