Peptide,label_x,label_y
N4,0.36171515449919056,0.12532099118746065
A2,0.5200188188805455,-0.01111195461808201
Y3,-0.001088428766767846,-0.1666807228670426
Q4,0.3663929464490083,-0.05582289304497845
T4,0.2652263196777256,-0.2098763695101944
V4,-0.13894121169100937,0.14066960405068096
G4,0.21310051619934844,-0.04616392809020753
D4,0.1285680484736067,-0.2615262896487449
Q4R7,0.026842122544051605,0.2785944176119577
Q4H7,-0.17836441657999558,-0.0021863964144084314
Q7,0.023303240065257524,0.1338452577401943
E1,0.2838417319943347,0.26007196692817014
CATNB,-0.48321639823397033,-0.03947559568292758
LCMV,-0.39860291911569723,0.14647283081635165
TB,0.18843423967567108,0.14485955999673528
MCMV,-0.1122111492304596,-0.2846402909078145
