Gene,preferred_symbol,selected_query,resolved_symbol,entrezgene,gene_name,program,program_evidence,annotation_blob
TSEN54,TSEN54,TSEN54,TSEN54,283989,tRNA splicing endonuclease subunit 54,Spliceosome / RNA processing (likely general),rna splic,"trna splicing endonuclease subunit 54 | trna-type intron splice site recognition and cleavage | trna-type intron splice site recognition and cleavage | trna splicing, via endonucleolytic cleavage and ligation | protein binding"
ACTA1,ACTA1,ACTA1,ACTA1,58,"actin alpha 1, skeletal muscle",Other / unclear,no keyword match,"actin alpha 1, skeletal muscle | muscle contraction | positive regulation of gene expression | skeletal muscle thin filament assembly | skeletal muscle thin filament assembly | skeletal muscle fiber development | skeletal muscle fiber development | mesenchyme migration | structural constituent of cytoskeleton | structural constituent of cytoskeleton | protein binding | atp binding | atp hydrolysis activity | myosin binding | adp binding"
SRF,SRF,SRF,SRF,6722,serum response factor,Actin & Rho signaling,actin cytoskeleton organization,"serum response factor | response to hypoxia | in utero embryonic development | trophectodermal cell differentiation | heart looping | cell migration involved in sprouting angiogenesis | cell migration involved in sprouting angiogenesis | heart development | long-term memory | negative regulation of cell population proliferation | response to toxic substance | response to hormone | actin cytoskeleton organization | actin cytoskeleton organization | negative regulation of cell migration | response to cytokine | response to cytokine | wound healing | positive regulation of cell differentiation | positive regulation of dna-templated transcription | positive regulation of transcription by rna polymerase ii | positive regulation of transcription by rna polymerase ii | positive regulation of transcription by rna polymerase ii | positive regulation of transcription by rna polymerase ii | positive regulation of transcription by rna polymerase ii | positive regulation of transcription by rna polymerase ii | positive regulation of smooth muscle contraction | positive regulation of transcription by glucose | muscle cell cellular homeostasis | neuron development | regulation of smooth muscle cell differentiation | angiogenesis involved in wound healing | positive regulation of transcription initiation by rna polymerase ii | cardiac muscle cell myoblast differentiation | cardiac muscle cell myoblast differentiation | cellular response to glucose stimulus | cellular senescence | negative regulation of amyloid-beta clearance | negative regulation of mirna transcription | negative regulation of mirna transcription | positive regulation of mirna transcription | positive regulation of mirna transcription | positive regulation of mirna transcription | rna polymerase ii cis-regulatory region sequence-specific dna binding | rna polymerase ii cis-regulatory region sequence-specific dna binding | rna polymerase ii cis-regulatory region sequence-specific dna binding | dna-binding transcription factor activity, rna polymerase ii-specific | dna-binding transcription factor activity, rna polymerase ii-specific | cis-regulatory region sequence-specific dna binding | dna-binding transcription activator activity, rna polymerase ii-specific | dna-binding transcription activator activity, rna polymerase ii-specific | dna-binding transcription activator activity, rna polymerase ii-specific | dna-binding transcription activator activity, rna polymerase ii-specific | dna binding | chromatin binding | dna-binding transcription factor activity | dna-binding transcription factor activity | dna-binding transcription factor activity | protein binding | serum response element binding | serum response element binding | serum response element binding | chromatin dna binding | protein homodimerization activity | histone deacetylase binding | sequence-specific dna binding | protein dimerization activity | rna polymerase ii-specific dna-binding transcription factor binding | primary mirna binding | primary mirna binding | dna-binding transcription factor binding | sequence-specific double-stranded dna binding"
ATP6V1C1,ATP6V1C1,ATP6V1C1,ATP6V1C1,528,ATPase H+ transporting V1 subunit C1,Polarized exocytosis & fusion,synaptic vesicle,"atpase h+ transporting v1 subunit c1 | regulation of macroautophagy | synaptic vesicle lumen acidification | proton transmembrane transport | proton transmembrane transport | protein binding | proton transmembrane transporter activity | proton transmembrane transporter activity | proton-transporting atpase activity, rotational mechanism | proton-transporting atpase activity, rotational mechanism | proton-transporting atpase activity, rotational mechanism"
TCERG1,TCERG1,TCERG1,TCERG1,10915,transcription elongation regulator 1,Spliceosome / RNA processing (likely general),rna splic,transcription elongation regulator 1 | negative regulation of transcription by rna polymerase ii | mrna processing | rna splicing | positive regulation of transcription elongation by rna polymerase ii | negative regulation of transcription elongation by rna polymerase ii | positive regulation of transcription by rna polymerase ii | transcription elongation factor activity | transcription coregulator activity | transcription coactivator activity | transcription corepressor activity | rna binding | protein binding | identical protein binding | ubiquitin-like protein conjugating enzyme binding | rna polymerase ii-specific dna-binding transcription factor binding | rna polymerase binding | rna polymerase binding | rna polymerase binding
XPOT,XPOT,XPOT,XPOT,11260,exportin for tRNA,Other / unclear,no keyword match,exportin for trna | trna export from nucleus | trna export from nucleus | intracellular protein transport | nucleocytoplasmic transport | trna re-export from nucleus | trna re-export from nucleus | trna binding | trna binding | trna binding | protein binding | small gtpase binding
RCOR3,RCOR3,RCOR3,RCOR3,55758,REST corepressor 3,Transcription / chromatin (likely general),transcription by rna pol,rest corepressor 3 | regulation of transcription by rna polymerase ii | negative regulation of dna-templated transcription | negative regulation of dna-templated transcription | transcription corepressor activity | protein binding
IPO11,IPO11,IPO11,IPO11,51194,importin 11,Other / unclear,no keyword match,importin 11 | protein import into nucleus | intracellular protein transport | import into nucleus | protein binding | small gtpase binding | nuclear import signal receptor activity
SARM1,SARM1,SARM1,SARM1,23098,sterile alpha and TIR motif containing 1,Other / unclear,no keyword match,"sterile alpha and tir motif containing 1 | signal transduction | nad+ catabolic process | nad+ catabolic process | negative regulation of myd88-independent toll-like receptor signaling pathway | positive regulation of programmed cell death | response to axon injury | response to axon injury | regulation of dendrite morphogenesis | regulation of dendrite morphogenesis | nervous system process | protein localization to mitochondrion | protein localization to mitochondrion | modification of postsynaptic structure | regulation of synapse pruning | double-stranded dna binding | nad+ nucleosidase activity | nad+ nucleosidase activity | protein binding | signaling adaptor activity | identical protein binding | nadp+ nucleosidase activity | nadp+ nucleosidase activity | nad+ nucleosidase activity, cyclic adp-ribose generating | nad+ nucleosidase activity, cyclic adp-ribose generating"
TMEM199,TMEM199,TMEM199,VMA12,147007,vacuolar ATPase assembly factor VMA12,Other / unclear,no keyword match,vacuolar atpase assembly factor vma12 | intracellular iron ion homeostasis | lysosomal lumen acidification | cellular response to increased oxygen levels | vacuolar proton-transporting v-type atpase complex assembly | lysosomal protein catabolic process | protein binding | oxysterol binding | oxysterol binding
C17orf49,C17orf49,C17orf49,BACC1,124944,BPTF associated chromatin complex component 1,Transcription / chromatin (likely general),chromatin,bptf associated chromatin complex component 1 | protein binding | identical protein binding
TEX22,TEX22,TEX22,TEX22,647310,testis expressed 22,Other / unclear,no keyword match,testis expressed 22
OTUD7B,OTUD7B,OTUD7B,OTUD7B,56957,OTU deubiquitinase 7B,Ubiquitin–proteasome / protein degradation,deubiquitinat,otu deubiquitinase 7b | negative regulation of transcription by rna polymerase ii | negative regulation of transcription by rna polymerase ii | mucosal immune response | mucosal immune response | protein deubiquitination | negative regulation of interleukin-8 production | protein k11-linked deubiquitination | protein k11-linked deubiquitination | negative regulation of canonical nf-kappab signal transduction | negative regulation of canonical nf-kappab signal transduction | negative regulation of canonical nf-kappab signal transduction | protein k63-linked deubiquitination | protein k48-linked deubiquitination | protein k48-linked deubiquitination | protein k48-linked deubiquitination | protein deubiquitination involved in ubiquitin-dependent protein catabolic process | negative regulation of protein localization to nucleus | negative regulation of torc1 signaling | positive regulation of torc2 signaling | dna binding | cysteine-type deubiquitinase activity | cysteine-type deubiquitinase activity | cysteine-type deubiquitinase activity | cysteine-type deubiquitinase activity | cysteine-type deubiquitinase activity | protein binding | cysteine-type peptidase activity | cysteine-type peptidase activity | zinc ion binding | k63-linked polyubiquitin modification-dependent protein binding | k63-linked polyubiquitin modification-dependent protein binding | k48-linked deubiquitinase activity | k48-linked deubiquitinase activity
ATP6AP1,ATP6AP1,ATP6AP1,ATP6AP1,537,ATPase H+ transporting accessory protein 1,Polarized exocytosis & fusion,synaptic vesicle,atpase h+ transporting accessory protein 1 | intracellular iron ion homeostasis | vacuolar acidification | lysosomal lumen acidification | osteoclast development | osteoclast development | cellular response to increased oxygen levels | endosomal lumen acidification | intracellular ph reduction | regulation of intracellular ph | golgi lumen acidification | cellular response to amino acid stimulus | synaptic vesicle lumen acidification | endosome to plasma membrane protein transport | endosome to plasma membrane protein transport | proton transmembrane transport | positive regulation of torc1 signaling | positive regulation of torc1 signaling | positive regulation of torc1 signaling | protein binding | small gtpase binding | small gtpase binding | molecular function activator activity | guanyl nucleotide exchange factor activator activity
SMARCA4,SMARCA4,SMARCA4,SMARCA4,6597,SWI/SNF related BAF chromatin remodeling complex subunit ATPase 4,Cytokine / GPCR / surface receptor signaling,wnt signal,"swi/snf related baf chromatin remodeling complex subunit atpase 4 | negative regulation of transcription by rna polymerase ii | rna polymerase i preinitiation complex assembly | neural retina development | chromatin remodeling | chromatin remodeling | chromatin remodeling | chromatin remodeling | chromatin remodeling | chromatin remodeling | regulation of dna-templated transcription | regulation of transcription by rna polymerase ii | nervous system development | positive regulation of cell population proliferation | regulation of mitotic metaphase/anaphase transition | positive regulation of wnt signaling pathway | positive regulation of wnt signaling pathway | negative regulation of cell growth | negative regulation of cell growth | heterochromatin formation | host-mediated activation of viral transcription | positive regulation of t cell differentiation | negative regulation of cell differentiation | positive regulation of cell differentiation | positive regulation of myoblast differentiation | transcription initiation-coupled chromatin remodeling | transcription initiation-coupled chromatin remodeling | negative regulation of dna-templated transcription | negative regulation of dna-templated transcription | positive regulation of dna-templated transcription | positive regulation of transcription by rna polymerase ii | positive regulation of transcription by rna polymerase ii | positive regulation of transcription by rna polymerase ii | positive regulation of transcription by rna polymerase ii | negative regulation of androgen receptor signaling pathway | regulation of g0 to g1 transition | positive regulation of cold-induced thermogenesis | positive regulation of cold-induced thermogenesis | positive regulation of signal transduction by p53 class mediator | positive regulation of transcription of nucleolar large rrna by rna polymerase i | positive regulation of stem cell population maintenance | positive regulation of glucose mediated signaling pathway | positive regulation of mirna transcription | regulation of g1/s transition of mitotic cell cycle | positive regulation of double-strand break repair | regulation of nucleotide-excision repair | rna polymerase ii transcription regulatory region sequence-specific dna binding | rna polymerase ii cis-regulatory region sequence-specific dna binding | rna polymerase i core promoter sequence-specific dna binding | transcription coregulator binding | p53 binding | dna binding | chromatin binding | chromatin binding | transcription coactivator activity | transcription coactivator activity | transcription coactivator activity | transcription coactivator activity | transcription corepressor activity | helicase activity | helicase activity | protein binding | atp binding | atp-dependent activity, acting on dna | atp-dependent activity, acting on dna | atp hydrolysis activity | atp hydrolysis activity | tat protein binding | nucleosomal dna binding | histone binding | identical protein binding | nuclear androgen receptor binding | dna polymerase binding | dna polymerase binding | lncrna binding | atp-dependent chromatin remodeler activity | atp-dependent chromatin remodeler activity | atp-dependent chromatin remodeler activity | nucleosome array spacer activity"
ATP6AP2,ATP6AP2,ATP6AP2,ATP6AP2,10159,ATPase H+ transporting accessory protein 2,Polarized exocytosis & fusion,synaptic vesicle,atpase h+ transporting accessory protein 2 | angiotensin maturation | vacuolar acidification | lysosomal lumen acidification | lysosomal lumen acidification | central nervous system maturation | central nervous system maturation | rostrocaudal neural tube patterning | positive regulation of wnt signaling pathway | positive regulation of wnt signaling pathway | positive regulation of wnt signaling pathway | positive regulation of transforming growth factor beta1 production | regulation of mapk cascade | eye pigmentation | endosomal lumen acidification | intracellular ph reduction | head morphogenesis | golgi lumen acidification | positive regulation of canonical wnt signaling pathway | synaptic vesicle lumen acidification | proton transmembrane transport | protein binding | signaling receptor activity
ATP6V1G1,ATP6V1G1,ATP6V1G1,ATP6V1G1,9550,ATPase H+ transporting V1 subunit G1,Polarized exocytosis & fusion,synaptic vesicle,"atpase h+ transporting v1 subunit g1 | intracellular iron ion homeostasis | regulation of macroautophagy | cellular response to increased oxygen levels | synaptic vesicle lumen acidification | synaptic vesicle lumen acidification | proton transmembrane transport | protein binding | proton transmembrane transporter activity | proton-transporting atpase activity, rotational mechanism | atpase binding | atpase binding"
VPS36,VPS36,VPS36,VPS36,51028,vacuolar protein sorting 36 homolog,Ubiquitin–proteasome / protein degradation,ubiquitin-dependent protein catab,vacuolar protein sorting 36 homolog | macroautophagy | endosome transport via multivesicular body sorting pathway | multivesicular body assembly | multivesicular body assembly | protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway | protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway | membrane fission | protein binding | phosphatidylinositol-3-phosphate binding | ubiquitin binding | ubiquitin binding | ubiquitin binding
ANO8,ANO8,ANO8,ANO8,57719,anoctamin 8,Other / unclear,no keyword match,anoctamin 8 | monoatomic ion transmembrane transport | chloride transmembrane transport | intracellularly calcium-gated chloride channel activity | intracellularly calcium-gated chloride channel activity | chloride channel activity
EMC7,EMC7,EMC7,EMC7,56851,ER membrane protein complex subunit 7,Membrane-protein biogenesis (ER/GET/ERAD),tail-anchored,er membrane protein complex subunit 7 | protein insertion into er membrane by stop-transfer membrane-anchor sequence | protein insertion into er membrane by stop-transfer membrane-anchor sequence | tail-anchored membrane protein insertion into er membrane | protein binding | carbohydrate binding | membrane insertase activity
MXRA8,MXRA8,MXRA8,MXRA8,54587,matrix remodeling associated 8,Other / unclear,no keyword match,matrix remodeling associated 8 | cell adhesion | cell differentiation | establishment of glial blood-brain barrier | establishment of glial blood-brain barrier | protein binding
CDS2,CDS2,CDS2,CDS2,8760,CDP-diacylglycerol synthase 2,Other / unclear,no keyword match,"cdp-diacylglycerol synthase 2 | phosphatidylglycerol biosynthetic process | cdp-diacylglycerol biosynthetic process | cdp-diacylglycerol biosynthetic process | cdp-diacylglycerol biosynthetic process | lipid droplet formation | lipid droplet formation | lipid droplet formation | phosphatidate cytidylyltransferase activity | phosphatidate cytidylyltransferase activity | phosphatidate cytidylyltransferase activity | phosphatidate cytidylyltransferase activity | phosphatidate cytidylyltransferase activity | protein binding | transferase activity, transferring phosphorus-containing groups"
SLC35A3,SLC35A3,SLC35A3,SLC35A3,23443,solute carrier family 35 member A3,Transport — ion channels & solute carriers,solute carrier,solute carrier family 35 member a3 | udp-n-acetylglucosamine metabolic process | organophosphate ester transport | nucleobase-containing compound transport | transmembrane transport | udp-galactose transmembrane transport | pyrimidine nucleotide-sugar transmembrane transport | udp-n-acetylglucosamine transmembrane transport | udp-n-acetylglucosamine transmembrane transport | udp-n-acetylglucosamine transmembrane transport | udp-galactose transmembrane transporter activity | udp-galactose transmembrane transporter activity | udp-n-acetylglucosamine transmembrane transporter activity | protein binding | pyrimidine nucleotide-sugar transmembrane transporter activity
ATP6V1F,ATP6V1F,ATP6V1F,ATP6V1F,9296,ATPase H+ transporting V1 subunit F,Polarized exocytosis & fusion,synaptic vesicle,"atpase h+ transporting v1 subunit f | vacuolar acidification | lysosomal lumen acidification | monoatomic ion transmembrane transport | endosomal lumen acidification | intracellular ph reduction | golgi lumen acidification | synaptic vesicle lumen acidification | proton transmembrane transport | proton transmembrane transport | protein binding | proton transmembrane transporter activity | proton transmembrane transporter activity | atpase-coupled ion transmembrane transporter activity | proton-transporting atpase activity, rotational mechanism"
ATP6V1H,ATP6V1H,ATP6V1H,ATP6V1H,51606,ATPase H+ transporting V1 subunit H,Polarized exocytosis & fusion,synaptic vesicle,"atpase h+ transporting v1 subunit h | endocytosis | vacuolar acidification | lysosomal lumen acidification | lysosomal lumen acidification | regulation of macroautophagy | endosomal lumen acidification | intracellular ph reduction | golgi lumen acidification | synaptic vesicle lumen acidification | proton transmembrane transport | proton transmembrane transport | protein binding | atp hydrolysis activity | enzyme regulator activity | proton-transporting atpase activity, rotational mechanism"
ZNF559,ZNF559,ZNF559,ZNF559,84527,zinc finger protein 559,Transcription / chromatin (likely general),transcription by rna pol,"zinc finger protein 559 | regulation of dna-templated transcription | regulation of transcription by rna polymerase ii | rna polymerase ii transcription regulatory region sequence-specific dna binding | dna-binding transcription factor activity, rna polymerase ii-specific | protein binding"
ZPR1,ZPR1,ZPR1,ZPR1,8882,ZPR1 zinc finger,Spliceosome / RNA processing (likely general),pre-mrna,zpr1 zinc finger | microtubule cytoskeleton organization | microtubule cytoskeleton organization | inner cell mass cell proliferation | trophectodermal cell proliferation | trophectodermal cell proliferation | dna replication | dna replication | protein folding | protein folding | signal transduction | positive regulation of gene expression | positive regulation of gene expression | spinal cord development | spinal cord development | cajal body organization | cajal body organization | regulation of myelination | regulation of myelination | positive regulation of rna splicing | dna endoreduplication | dna endoreduplication | positive regulation of protein import into nucleus | positive regulation of protein import into nucleus | positive regulation of cell cycle | positive regulation of growth | positive regulation of growth | axon development | axon development | axon development | cellular response to epidermal growth factor stimulus | apoptotic process involved in development | apoptotic process involved in development | pre-mrna catabolic process | negative regulation of motor neuron apoptotic process | negative regulation of motor neuron apoptotic process | protein binding | zinc ion binding | receptor tyrosine kinase binding | translation initiation factor binding | translation initiation factor binding | protein folding chaperone | translation elongation factor binding
DICER1,DICER1,DICER1,DICER1,23405,"dicer 1, ribonuclease III",Spliceosome / RNA processing (likely general),rna processing,"dicer 1, ribonuclease iii | negative regulation of transcription by rna polymerase ii | apoptotic dna fragmentation | rna processing | mirna metabolic process | negative regulation of schwann cell proliferation | negative regulation of gene expression | negative regulation of gene expression | negative regulation of tumor necrosis factor-mediated signaling pathway | positive regulation of schwann cell differentiation | trna decay | post-transcriptional gene silencing | nerve development | sirna processing | sirna processing | sirna processing | sirna processing | sirna processing | pre-mirna processing | pre-mirna processing | pre-mirna processing | positive regulation of myelination | peripheral nervous system myelin formation | negative regulation of tumor necrosis factor production | mirna processing | mirna processing | mirna processing | neuron projection morphogenesis | regulation of multicellular organismal process | risc complex assembly | global gene silencing by mrna cleavage | nucleic acid binding | rna binding | rna binding | double-stranded rna binding | double-stranded rna binding | rna endonuclease activity | rna endonuclease activity | rna endonuclease activity | ribonuclease iii activity | ribonuclease iii activity | ribonuclease iii activity | ribonuclease iii activity | ribonuclease iii activity | deoxyribonuclease i activity | protein binding | atp binding | rna endonuclease activity producing 5'-phosphomonoesters, hydrolytic mechanism | protein domain specific binding | sirna binding | regulatory rna binding | pre-mirna binding | pre-mirna binding"
RELL2,RELL2,RELL2,RELL2,285613,RELT like 2,Cytokine / GPCR / surface receptor signaling,mapk cascade,relt like 2 | positive regulation of cell-substrate adhesion | positive regulation of p38mapk cascade | positive regulation of p38mapk cascade | positive regulation of p38mapk cascade | protein binding | collagen binding
VMA21,VMA21,VMA21,VMA21,203547,vacuolar ATPase assembly factor VMA21,Other / unclear,no keyword match,vacuolar atpase assembly factor vma21 | lysosomal lumen acidification | vacuolar proton-transporting v-type atpase complex assembly | vacuolar proton-transporting v-type atpase complex assembly | vacuolar proton-transporting v-type atpase complex assembly | protein binding
APOBEC2,APOBEC2,APOBEC2,APOBEC2,10930,apolipoprotein B mRNA editing enzyme catalytic subunit 2,Other / unclear,no keyword match,apolipoprotein b mrna editing enzyme catalytic subunit 2 | cytidine to uridine editing | cytidine to uridine editing | cytidine to uridine editing | positive regulation of gene expression via chromosomal cpg island demethylation | rna binding | rna binding | cytidine deaminase activity | cytidine deaminase activity | cytidine deaminase activity | cytidine deaminase activity | identical protein binding
PGAM5,PGAM5,PGAM5,PGAM5,192111,"PGAM family member 5, mitochondrial serine/threonine protein phosphatase",Autophagy–secretion & DAMP,macroautophagy,"pgam family member 5, mitochondrial serine/threonine protein phosphatase | macroautophagy | necroptotic process | positive regulation of mitochondrial fission | negative regulation of cold-induced thermogenesis | negative regulation of cold-induced thermogenesis | protein serine/threonine phosphatase activity | protein serine/threonine phosphatase activity | protein serine/threonine phosphatase activity | protein serine/threonine phosphatase activity | protein binding"
ASCC3,ASCC3,ASCC3,ASCC3,10973,activating signal cointegrator 1 complex subunit 3,Ubiquitin–proteasome / protein degradation,ubiquitin-dependent protein catab,activating signal cointegrator 1 complex subunit 3 | dna replication | dna alkylation repair | dna alkylation repair | ribosome disassembly | ribosome disassembly | rescue of stalled cytosolic ribosome | rescue of stalled cytosolic ribosome | rescue of stalled cytosolic ribosome | ribosome-associated ubiquitin-dependent protein catabolic process | ribosome-associated ubiquitin-dependent protein catabolic process | nucleic acid binding | rna binding | rna binding | helicase activity | protein binding | atp binding | atp hydrolysis activity | atp hydrolysis activity | atp hydrolysis activity | 3'-5' dna helicase activity | 3'-5' dna helicase activity | 3'-5' dna helicase activity
DGCR8,DGCR8,DGCR8,DGCR8,54487,DGCR8 microprocessor complex subunit,Spliceosome / RNA processing (likely general),rna processing,dgcr8 microprocessor complex subunit | dna damage response | primary mirna processing | primary mirna processing | primary mirna processing | primary mirna processing | positive regulation of pre-mirna processing | rna binding | double-stranded rna binding | double-stranded rna binding | protein binding | heme binding | heme binding | protein-macromolecule adaptor activity | identical protein binding | identical protein binding | protein homodimerization activity | primary mirna binding | primary mirna binding | primary mirna binding | protein-rna adaptor activity
TPT1,TPT1,TPT1,TPT1,7178,"tumor protein, translationally-controlled 1",Other / unclear,no keyword match,"tumor protein, translationally-controlled 1 | calcium ion transport | intracellular calcium ion homeostasis | response to virus | negative regulation of autophagy | regulation of apoptotic process | negative regulation of apoptotic process | negative regulation of intrinsic apoptotic signaling pathway in response to dna damage | negative regulation of apoptotic signaling pathway | rna binding | calcium ion binding | calcium ion binding | protein binding"
ARPC4,ARPC4,ARPC4,ARPC4,10093,actin related protein 2/3 complex subunit 4,Actin & Rho signaling,actin filament,actin related protein 2/3 complex subunit 4 | actin filament polymerization | arp2/3 complex-mediated actin nucleation | arp2/3 complex-mediated actin nucleation | arp2/3 complex-mediated actin nucleation | actin nucleation | structural constituent of cytoskeleton | protein binding | enzyme binding | protein-macromolecule adaptor activity | actin filament binding | actin filament binding
AGO3,AGO3,AGO3,AGO3,192669,argonaute RISC catalytic component 3,Spliceosome / RNA processing (likely general),rna processing,"argonaute risc catalytic component 3 | mrna catabolic process | positive regulation of gene expression | regulatory ncrna-mediated gene silencing | pre-mirna processing | pre-mirna processing | pre-mirna processing | regulatory ncrna-mediated post-transcriptional gene silencing | mirna processing | mirna processing | mirna-mediated gene silencing by inhibition of translation | mirna-mediated gene silencing by inhibition of translation | mirna-mediated gene silencing by mrna destabilization | mirna-mediated gene silencing by mrna destabilization | risc complex assembly | risc complex assembly | regulation of stem cell proliferation | regulation of stem cell proliferation | sirna-mediated gene silencing by mrna destabilization | positive regulation of non-canonical nf-kappab signal transduction | nucleic acid binding | rna binding | rna binding | double-stranded rna binding | double-stranded rna binding | single-stranded rna binding | single-stranded rna binding | single-stranded rna binding | rna endonuclease activity | rna endonuclease activity | protein binding | mirna binding | mirna binding | mirna binding | endoribonuclease activity, cleaving mirna-paired mrna"
LARS,LARS,LARS,LARS1,51520,leucyl-tRNA synthetase 1,Other / unclear,no keyword match,leucyl-trna synthetase 1 | trna aminoacylation for protein translation | trna aminoacylation for protein translation | trna aminoacylation for protein translation | glutaminyl-trna aminoacylation | leucyl-trna aminoacylation | leucyl-trna aminoacylation | leucyl-trna aminoacylation | cellular response to amino acid starvation | cellular response to amino acid stimulus | cellular response to l-leucine | aminoacyl-trna metabolism involved in translational fidelity | positive regulation of torc1 signaling | cellular response to leucine starvation | nucleotide binding | aminoacyl-trna deacylase activity | aminoacyl-trna deacylase activity | aminoacyl-trna ligase activity | glutamine-trna ligase activity | leucine-trna ligase activity | leucine-trna ligase activity | leucine-trna ligase activity | leucine-trna ligase activity | gtpase activator activity | protein binding | atp binding
WDR7,WDR7,WDR7,WDR7,23335,WD repeat domain 7,Other / unclear,no keyword match,wd repeat domain 7 | vacuolar acidification
SMARCC1,SMARCC1,SMARCC1,SMARCC1,6599,SWI/SNF related BAF chromatin remodeling complex subunit C1,Transcription / chromatin (likely general),transcription by rna pol,swi/snf related baf chromatin remodeling complex subunit c1 | nucleosome disassembly | chromatin remodeling | chromatin remodeling | chromatin remodeling | regulation of dna-templated transcription | regulation of transcription by rna polymerase ii | positive regulation of cell population proliferation | regulation of mitotic metaphase/anaphase transition | prostate gland development | positive regulation of t cell differentiation | negative regulation of cell differentiation | positive regulation of cell differentiation | positive regulation of myoblast differentiation | positive regulation of dna-templated transcription | positive regulation of dna-templated transcription | regulation of g0 to g1 transition | positive regulation of stem cell population maintenance | regulation of g1/s transition of mitotic cell cycle | positive regulation of double-strand break repair | regulation of nucleotide-excision repair | chromatin binding | transcription coactivator activity | protein binding | nucleosomal dna binding | histone binding | atp-dependent chromatin remodeler activity
SMARCE1,SMARCE1,SMARCE1,SMARCE1,6605,SWI/SNF related BAF chromatin remodeling complex subunit E1,Transcription / chromatin (likely general),transcription by rna pol,swi/snf related baf chromatin remodeling complex subunit e1 | nucleosome disassembly | chromatin remodeling | chromatin remodeling | chromatin remodeling | regulation of transcription by rna polymerase ii | regulation of transcription by rna polymerase ii | regulation of mitotic metaphase/anaphase transition | positive regulation of t cell differentiation | positive regulation of cell differentiation | positive regulation of myoblast differentiation | negative regulation of dna-templated transcription | negative regulation of dna-templated transcription | positive regulation of dna-templated transcription | regulation of g0 to g1 transition | positive regulation of stem cell population maintenance | regulation of g1/s transition of mitotic cell cycle | positive regulation of double-strand break repair | regulation of nucleotide-excision repair | chromatin binding | transcription coactivator activity | transcription coactivator activity | rna binding | protein binding | n-acetyltransferase activity | nuclear receptor binding | nuclear receptor binding | nucleosomal dna binding | atp-dependent chromatin remodeler activity
