Gene,preferred_symbol,selected_query,resolved_symbol,entrezgene,gene_name,program,program_evidence,annotation_blob
CCDC115,CCDC115,CCDC115,VMA22,84317,vacuolar ATPase assembly factor VMA22,Other / unclear,no keyword match,vacuolar atpase assembly factor vma22 | intracellular iron ion homeostasis | lysosomal lumen acidification | cellular response to increased oxygen levels | vacuolar proton-transporting v-type atpase complex assembly | lysosomal protein catabolic process | protein binding
ZFYVE20,ZFYVE20,ZFYVE20,RBSN,64145,"rabenosyn, RAB effector",ER-Golgi / COPII vesicular transport,golgi organization,"rabenosyn, rab effector | endosomal transport | early endosome to golgi transport | golgi to lysosome transport | regulation of golgi organization | protein binding | zinc ion binding | small gtpase binding | phosphatidylinositol-3-phosphate binding | metal ion binding"
TBC1D10C,TBC1D10C,TBC1D10C,TBC1D10C,374403,TBC1 domain family member 10C,Other / unclear,no keyword match,"tbc1 domain family member 10c | retrograde transport, endosome to golgi | retrograde transport, endosome to golgi | retrograde transport, endosome to golgi | regulation of cilium assembly | gtpase activator activity | protein binding"
CSNK2A1,CSNK2A1,CSNK2A1,CSNK2A1,1457,casein kinase 2 alpha 1,Ubiquitin–proteasome / protein degradation,proteasom,casein kinase 2 alpha 1 | double-strand break repair | double-strand break repair | protein folding | dna damage response | signal transduction | positive regulation of cell population proliferation | negative regulation of translation | peptidyl-serine phosphorylation | positive regulation of wnt signaling pathway | positive regulation of cell growth | heterochromatin formation | negative regulation of proteasomal ubiquitin-dependent protein catabolic process | regulation of protein catabolic process | positive regulation of protein catabolic process | positive regulation of dna-templated transcription | protein stabilization | regulation of cell cycle | symbiont-mediated disruption of host cell pml body | negative regulation of signal transduction by p53 class mediator | positive regulation of aggrephagy | regulation of chromosome separation | negative regulation of double-strand break repair via homologous recombination | negative regulation of apoptotic signaling pathway | negative regulation of apoptotic signaling pathway | protein kinase activity | protein serine/threonine kinase activity | protein serine/threonine kinase activity | protein serine/threonine kinase activity | protein serine/threonine kinase activity | protein serine/threonine kinase activity | protein serine/threonine kinase activity | protein binding | atp binding | kinase activity | identical protein binding | hsp90 protein binding | protein serine kinase activity | protein serine kinase activity
UGCG,UGCG,UGCG,UGCG,7357,UDP-glucose ceramide glucosyltransferase,Membrane lipid remodeling,sphingolipid,udp-glucose ceramide glucosyltransferase | protein lipidation | sphingolipid metabolic process | glucosylceramide biosynthetic process | glucosylceramide biosynthetic process | glucosylceramide biosynthetic process | glycosphingolipid biosynthetic process | epidermis development | regulation of signal transduction | regulation of signal transduction | cell differentiation | cell differentiation | keratinocyte differentiation | keratinocyte differentiation | leptin-mediated signaling pathway | leptin-mediated signaling pathway | neuron development | neuron development | establishment of skin barrier | establishment of skin barrier | intestinal lipid absorption | intestinal lipid absorption | cornified envelope assembly | cornified envelope assembly | protein binding | ceramide glucosyltransferase activity | ceramide glucosyltransferase activity | ceramide glucosyltransferase activity | ceramide glucosyltransferase activity | glycosyltransferase activity
ACTB,ACTB,ACTB,ACTB,60,actin beta,Cell polarity,cell polarity,actin beta | morphogenesis of a polarized epithelium | chromatin remodeling | chromatin remodeling | regulation of transcription by rna polymerase ii | cytoskeleton organization | microtubule nucleation | establishment or maintenance of cell polarity | axonogenesis | positive regulation of cell population proliferation | substantia nigra development | regulation of mitotic metaphase/anaphase transition | adherens junction assembly | maintenance of blood-brain barrier | regulation of apoptotic process | apical protein localization | positive regulation of t cell differentiation | negative regulation of cell differentiation | positive regulation of cell differentiation | positive regulation of myoblast differentiation | positive regulation of dna-templated transcription | cell motility | cell motility | regulation of norepinephrine uptake | regulation of norepinephrine uptake | positive regulation of norepinephrine uptake | regulation of cell cycle | regulation of g0 to g1 transition | platelet aggregation | protein localization to adherens junction | cellular response to cytochalasin b | postsynaptic actin cytoskeleton organization | regulation of transepithelial transport | regulation of synaptic vesicle endocytosis | positive regulation of stem cell population maintenance | positive regulation of double-strand break repair via homologous recombination | regulation of g1/s transition of mitotic cell cycle | regulation of double-strand break repair | positive regulation of double-strand break repair | regulation of nucleotide-excision repair | structural constituent of cytoskeleton | protein binding | atp hydrolysis activity | kinesin binding | protein kinase binding | protein kinase binding | nitric-oxide synthase regulator activity | tat protein binding | nucleosomal dna binding | identical protein binding | tau protein binding | nitric-oxide synthase binding | structural constituent of postsynaptic actin cytoskeleton | structural constituent of postsynaptic actin cytoskeleton | structural constituent of postsynaptic actin cytoskeleton | structural constituent of postsynaptic actin cytoskeleton | transporter regulator activity
HTR3C,HTR3C,HTR3C,HTR3C,170572,5-hydroxytryptamine receptor 3C,Transport — ion channels & solute carriers,ion channel,5-hydroxytryptamine receptor 3c | monoatomic ion transport | calcium ion transport | serotonin receptor signaling pathway | monoatomic ion transmembrane transport | monoatomic ion transmembrane transport | transmembrane transport | serotonin-gated cation-selective signaling pathway | serotonin-gated cation-selective signaling pathway | serotonin-gated cation-selective signaling pathway | transmembrane signaling receptor activity | monoatomic ion channel activity | extracellular ligand-gated monoatomic ion channel activity | protein binding | serotonin-gated monoatomic cation channel activity | serotonin-gated monoatomic cation channel activity | serotonin-gated monoatomic cation channel activity
PNPT1,PNPT1,PNPT1,PNPT1,87178,polyribonucleotide nucleotidyltransferase 1,Spliceosome / RNA processing (likely general),rna processing,polyribonucleotide nucleotidyltransferase 1 | mitochondrial rna catabolic process | mitochondrial rna catabolic process | mitochondrial mrna catabolic process | mitochondrial mrna catabolic process | mitochondrial mrna catabolic process | mitochondrial mrna catabolic process | positive regulation of mitochondrial rna catabolic process | mitochondrial rna 5'-end processing | mitochondrial rna 3'-end processing | mitochondrial rna 3'-end processing | rna processing | rna catabolic process | mrna catabolic process | mrna catabolic process | mitochondrion organization | mitochondrion organization | cellular response to oxidative stress | cellular response to interferon-beta | rna import into mitochondrion | rrna import into mitochondrion | regulation of cellular respiration | regulation of cellular respiration | protein homooligomerization | response to camp | response to growth hormone | positive regulation of mrna catabolic process | positive regulation of mrna catabolic process | protein homotrimerization | nuclear polyadenylation-dependent mrna catabolic process | mitochondrial mrna polyadenylation | liver regeneration | positive regulation of mirna catabolic process | regulation of cellular senescence | 3'-5'-rna exonuclease activity | 3'-5'-rna exonuclease activity | nucleic acid binding | rna binding | rna binding | polyribonucleotide nucleotidyltransferase activity | polyribonucleotide nucleotidyltransferase activity | polyribonucleotide nucleotidyltransferase activity | protein binding | poly(u) rna binding | poly(g) binding | mirna binding | identical protein binding
SMIM3,SMIM3,SMIM3,SMIM3,85027,small integral membrane protein 3,Other / unclear,no keyword match,small integral membrane protein 3 | protein binding | identical protein binding
UBE2N,UBE2N,UBE2N,UBE2N,7334,ubiquitin conjugating enzyme E2 N,Ubiquitin–proteasome / protein degradation,ubiquitin-protein transferase,ubiquitin conjugating enzyme e2 n | protein polyubiquitination | protein polyubiquitination | double-strand break repair via homologous recombination | dna double-strand break processing | regulation of dna repair | dna damage tolerance | dna damage tolerance | protein monoubiquitination | protein ubiquitination | protein ubiquitination | positive regulation of canonical nf-kappab signal transduction | proteasome-mediated ubiquitin-dependent protein catabolic process | positive regulation of dna repair | t cell receptor signaling pathway | protein k63-linked ubiquitination | protein k63-linked ubiquitination | protein k63-linked ubiquitination | protein k63-linked ubiquitination | antiviral innate immune response | positive regulation of protein k63-linked ubiquitination | positive regulation of intracellular signal transduction | negative regulation of torc1 signaling | positive regulation of double-strand break repair | rna binding | ubiquitin-protein transferase activity | ubiquitin-protein transferase activity | protein binding | ubiquitin protein ligase binding | ubiquitin binding | ubiquitin conjugating enzyme activity | ubiquitin conjugating enzyme activity | ubiquitin conjugating enzyme activity | ubiquitin conjugating enzyme activity | ubiquitin conjugating enzyme activity | ubiquitin conjugating enzyme activity | ubiquitin conjugating enzyme activity | ubiquitin-protein transferase activator activity
