ID,gene,UMI_count
00061_3,ABCC11_P2,85
00062_1,ABCC12_ENST00000311303.3,136
00062_2,ABCC12_ENST00000311303.3,140
00062_3,ABCC12_ENST00000311303.3,34
00063_1,ABCC2_P1P2,88
00063_2,ABCC2_P1P2,114
00063_3,ABCC2_P1P2,41
00064_1,ABCC3_P1P2,199
00064_2,ABCC3_P1P2,206
00064_3,ABCC3_P1P2,125
00065_1,ABCC4_P1P2,135
00065_2,ABCC4_P1P2,147
00065_3,ABCC4_P1P2,361
00066_1,ABCC5_P1P2,257
00066_2,ABCC5_P1P2,163
00066_3,ABCC5_P1P2,150
00067_1,ABCC6_ENST00000205557.7,53
00067_2,ABCC6_ENST00000205557.7,57
00067_3,ABCC6_ENST00000205557.7,54
00068_1,ABCC8_P1P2,95
00068_2,ABCC8_P1P2,164
00068_3,ABCC8_P1P2,42
00069_1,ABCC9_P1P2,11
00069_2,ABCC9_P1P2,52
00069_3,ABCC9_P1P2,30
00070_1,ABCD1_P1P2,70
00070_2,ABCD1_P1P2,189
00070_3,ABCD1_P1P2,161
00071_1,ABCD2_P1P2,58
00071_2,ABCD2_P1P2,33
00071_3,ABCD2_P1P2,170
00072_1,ABCD3_P1P2,25
00072_2,ABCD3_P1P2,111
00072_3,ABCD3_P1P2,47
00073_1,ABCD4_P1P2,338
00073_2,ABCD4_P1P2,560
00073_3,ABCD4_P1P2,411
00074_1,ABCE1_P1P2,13
00074_2,ABCE1_P1P2,66
00074_3,ABCE1_P1P2,76
00075_1,ABCF1_P1,59
00075_2,ABCF1_P1,30
00075_3,ABCF1_P1,31
00076_1,ABCF1_P2,37
00076_2,ABCF1_P2,57
00076_3,ABCF1_P2,85
00077_1,ABCF2_P1P2,107
00077_2,ABCF2_P1P2,460
00077_3,ABCF2_P1P2,69
00078_1,ABCF3_P1P2,78
00078_2,ABCF3_P1P2,163
00078_3,ABCF3_P1P2,238
00079_1,ABCG1_P1P2,97
00079_2,ABCG1_P1P2,211
00079_3,ABCG1_P1P2,127
00080_1,ABCG2_P1P2,66
00080_2,ABCG2_P1P2,92
00080_3,ABCG2_P1P2,58
00081_1,ABCG4_P1P2,98
00081_2,ABCG4_P1P2,44
00081_3,ABCG4_P1P2,22
00082_1,ABCG5_P1P2,71
00082_2,ABCG5_P1P2,129
00082_3,ABCG5_P1P2,74
00083_1,ABCG8_P1P2,137
