program,Gene,B_lfc,C_lfc,rra_maxfdr,tier,source_row
Ubiquitin–proteasome / protein degradation,SEL1L,-0.92679,-1.2063,0.033786,T1-core,71
Other / unclear,DFFA,-1.0937,-1.3302,0.038892,T1-core,72
GPI-anchor & glycan surface display,ALG2,-0.99738,-0.96253,0.003945,T1-core,73
Surface sensing & adhesion,CD58,-1.1853,-1.0569,0.00221,T1-core,74
Cytokine / GPCR / surface receptor signaling,MAP3K8,-0.99595,-0.97135,0.000198,T1-core,75
Cytokine / GPCR / surface receptor signaling,ACVR1,-1.2471,-1.0158,0.014328,T1-core,76
ER-Golgi / COPII vesicular transport,RABGGTB,-0.98467,-0.96466,0.016429,T1-core,77
Other / unclear,ITIH5,-1.0666,-1.0703,0.00187,T1-core,78
Other / unclear,TSSC1,-0.83718,-1.0021,0.000413,T1-core,79
Other / unclear,TUBGCP4,-1.074,-1.1036,0.046009,T1-core,80
Other / unclear,C17orf72,-1.1905,-1.0539,0.012271,T1-core,81
Membrane lipid remodeling,ATP11A,-1.1137,-0.94309,0.010407,T1-core,82
Transport — ion channels & solute carriers,KCNQ3,-1.0958,-1.14,0.049712,T1-core,83
Transcription / chromatin (likely general),TAF1A,-0.88125,-0.84813,0.033886,T1-core,84
Membrane lipid remodeling,MTMR9,-0.92336,-0.82755,0.000806,T1-core,85
Other / unclear,FAM204A,-0.90545,-0.83511,0.007063,T1-core,86
Other / unclear,QSOX2,-0.80534,-1.0773,0.014097,T1-core,87
Other / unclear,CRYGB,-0.85435,-0.95007,0.028117,T1-core,88
Other / unclear,NFKBID,-0.71882,-0.79969,0.043344,T1-core,89
Surface sensing & adhesion,TMC7,-1.9663,-2.1459,0.004359,T1-core,90
Other / unclear,LOXL1,-0.7131,-0.79779,0.037093,T1-core,91
Ubiquitin–proteasome / protein degradation,RFWD2,-0.73794,-0.87303,0.010309,T1-core,92
GPI-anchor & glycan surface display,JAK3,-0.89665,-1.2807,0.031583,T1-core,93
Spliceosome / RNA processing (likely general),TRPT1,-1.2572,-1.1837,0.046009,T1-core,94
Cytokine / GPCR / surface receptor signaling,NDP,-0.74429,-0.49032,0.013551,T1-core,95
Ubiquitin–proteasome / protein degradation,KCTD10,-0.78033,-0.55453,0.026022,T1-core,96
Other / unclear,WDR44,-0.86482,-0.68633,0.005806,T1-core,97
Actin & Rho signaling,RASGEF1B,-0.53958,-0.63854,0.040099,T1-core,98
Transcription / chromatin (likely general),NKX2-6,-1.0585,-0.55589,0.00389,T1-core,99
Spliceosome / RNA processing (likely general),METTL5,-0.41293,-0.35915,0.037547,T1-core,100
Other / unclear,CEP112,-0.79072,-0.52275,0.03231,T1-core,101
Other / unclear,TSPEAR,-0.63826,-0.4215,0.014109,T1-core,102
Actin & Rho signaling,SCAI,-0.43706,-0.59401,0.044171,T1-core,103
Transcription / chromatin (likely general),GTF3A,-1.9533,-1.907,0.010084,T1-core,104
