Gene	GeneID	Transcript	MLE_sgRNA	MLE_beta	MLE_z	MLE_p-value	MLE_fdr	MLE_S_sgRNA	MLE_B_beta	MLE_B_z	MLE_B_p-value	MLE_B_fdr	MLE_C_beta	MLE_C_z	MLE_C_p-value	MLE_C_fdr	B_lfc	B_neg_p-value	B_neg_fdr	B_neg_rank	B_neg_goodsgrna	B_pos_p-value	B_pos_fdr	B_pos_rank	B_pos_goodsgrna	C_lfc	C_neg_p-value	C_neg_fdr	C_neg_rank	C_neg_goodsgrna	C_pos_p-value	C_pos_fdr	C_pos_rank	C_pos_goodsgrna	DepMap	Surfaceome
EXOC4	60412	P1P2	3	-0.85955	-2.818	0.00035831	0.027027	3	-0.96239	-2.7325	0.00031352	0.033981	-0.75225	-2.1359	0.0018363	0.13758	-1.4979	2.1998e-07	0.000177	27.0	3.0	1.0	1.0	22478.0	0.0	-1.163	1.5399e-06	0.000806	38.0	3.0	1.0	1.0	22467.0	0.0	-0.0346251890768911	
EXOC5	10640	P1P2	3	-1.1828	-3.1802	4.4789e-05	0.006135	3	-1.1956	-2.6046	0.0	0.0	-1.1453	-2.4876	4.4789e-05	0.010417	-2.03	3.4977e-05	0.008286	95.0	3.0	0.99999	1.0	22415.0	0.0	-1.7825	4.0697e-05	0.010407	87.0	3.0	0.99995	1.0	22386.0	0.0	-0.1357269907622112	
FAM204A	63877	P1P2	3	-0.6045	-2.5442	0.0042549	0.14593	3	-0.62048	-2.3922	0.0084651	0.23105	-0.57653	-2.2227	0.0085547	0.27325	-0.90545	1.2539e-05	0.004275	66.0	3.0	1.0	1.0	22439.0	0.0	-0.83511	2.3538e-05	0.007063	75.0	3.0	0.99999	1.0	22434.0	0.0	-0.1843527817660092	
GDPGP1	390637	P1P2	3	-1.1549	-3.0113	4.4789e-05	0.006135	3	-1.1433	-2.5206	0.0	0.0	-1.1435	-2.5204	4.4789e-05	0.010417	-1.9667	2.4418e-05	0.006465	85.0	3.0	0.99998	1.0	22395.0	0.0	-1.7607	2.1998e-07	0.000198	24.0	3.0	1.0	1.0	22481.0	0.0	0.0922771407492629	
GJD3	125111	P2	3	-1.0103	-2.9907	8.9578e-05	0.0088889	3	-1.019	-2.4896	8.9578e-05	0.011696	-0.97604	-2.3844	0.00026873	0.039735	-1.7584	6.3795e-06	0.002761	52.0	3.0	1.0	1.0	22453.0	0.0	-1.308	6.5995e-07	0.000479	31.0	3.0	1.0	1.0	22474.0	0.0	0.1166100366840667	
GOLT1B	51026	P1P2	3	-0.89375	-2.7705	0.00026873	0.021505	3	-0.77164	-2.0388	0.0028217	0.13548	-1.0335	-2.7304	0.00013437	0.024	-0.92166	0.00028136	0.041384	153.0	3.0	0.99991	1.0	22361.0	0.0	-1.4891	1.1219e-05	0.003768	65.0	3.0	1.0	1.0	22442.0	0.0	-0.0046945825874408	nonsurface
HSPH1	10808	P1P2	3	-1.2518	-3.1152	0.0	0.0	3	-1.2254	-2.4992	0.0	0.0	-1.2788	-2.6074	4.4789e-05	0.010417	-1.8225	1.0339e-05	0.003878	60.0	3.0	1.0	1.0	22445.0	0.0	-1.5937	6.8195e-06	0.002692	57.0	3.0	1.0	1.0	22449.0	0.0	-0.050312784545702	
JAK3	3718	P1P2	3	-0.69607	-2.3459	0.0020155	0.093361	3	-0.53253	-1.5442	0.0159	0.31996	-0.87696	-2.5424	0.00049268	0.053398	-0.89665	0.00018105	0.031583	129.0	3.0	0.98864	1.0	21704.0	0.0	-1.2807	2.1998e-07	0.000198	25.0	3.0	1.0	1.0	22480.0	0.0	-0.2346378578419395	
KCNAB3	9196	P1P2	3	-1.1915	-3.2907	4.4789e-05	0.006135	3	-1.1896	-2.6421	0.0	0.0	-1.192	-2.647	4.4789e-05	0.010417	-1.8057	2.1998e-07	0.000177	18.0	3.0	1.0	1.0	22487.0	0.0	-1.6793	2.1998e-07	0.000198	21.0	3.0	1.0	1.0	22484.0	0.0	0.1575562256980445	
KCNQ3	3786	P1P2	3	-0.72129	-2.5761	0.0014332	0.074766	3	-0.63986	-1.9208	0.0076141	0.22021	-0.80414	-2.4138	0.00098535	0.089069	-1.0958	0.00036891	0.049712	166.0	3.0	0.99986	1.0	22345.0	0.0	-1.14	3.7397e-06	0.001753	47.0	3.0	1.0	1.0	22458.0	0.0	0.0084816501358896	nonsurface
KCTD3	51133	P1P2	3	-1.2419	-3.0807	0.0	0.0	3	-1.2465	-2.5833	0.0	0.0	-1.2183	-2.5241	4.4789e-05	0.010417	-1.9399	5.9395e-06	0.002621	51.0	3.0	1.0	1.0	22454.0	0.0	-2.2436	0.00011769	0.023438	113.0	3.0	0.99997	1.0	22400.0	0.0	0.2486254738141265	
KIF13A	63971	P1P2	3	-0.8534	-2.7257	0.0004031	0.03	3	-0.90656	-2.494	0.00076141	0.057047	-0.76981	-2.1173	0.0016124	0.12676	-1.234	4.1797e-06	0.00196	46.0	3.0	1.0	1.0	22459.0	0.0	-1.1873	1.1219e-05	0.003768	67.0	3.0	1.0	1.0	22440.0	0.0	0.0336296869587688	
LOXL1	4016	P1P2	3	-0.53332	-2.4077	0.0092713	0.23363	3	-0.47619	-1.7331	0.024455	0.40716	-0.58115	-2.115	0.0083307	0.2684	-0.7131	0.00023076	0.037093	140.0	3.0	0.99993	1.0	22373.0	0.0	-0.79779	3.8497e-05	0.010309	84.0	3.0	0.99999	1.0	22427.0	0.0	0.0986155038834412	
MAP3K8	1326	P1P2	3	-0.69724	-2.6479	0.0019707	0.09205	3	-0.7363	-2.3514	0.0036727	0.15649	-0.6557	-2.094	0.0043445	0.19796	-0.99595	2.1998e-07	0.000177	22.0	3.0	1.0	1.0	22483.0	0.0	-0.97135	2.1998e-07	0.000198	19.0	3.0	1.0	1.0	22486.0	0.0	0.0520043484480038	
MATN1	4146	P1	3	-0.95819	-2.8685	0.00013437	0.012712	3	-0.80823	-1.4369	0.0017916	0.10025	-1.1425	-2.025	4.4789e-05	0.010417	-1.1158	0.00025056	0.038887	145.0	3.0	0.99992	1.0	22368.0	0.0	-1.7947	0.00011725	0.023438	112.0	3.0	0.99997	1.0	22401.0	0.0	-0.2421657005842056	
MTMR11	10903	P1P2	3	-0.98037	-2.9147	8.9578e-05	0.0088889	3	-0.9333	-2.4402	0.00053747	0.047431	-1.0366	-2.709	0.00013437	0.024	-1.3937	4.1797e-06	0.00196	47.0	3.0	1.0	1.0	22458.0	0.0	-1.4366	9.4593e-06	0.003379	62.0	3.0	1.0	1.0	22444.0	0.0	-0.0613772076796259	
MTMR9	66036	P1P2	3	-0.60226	-2.5581	0.0044341	0.14977	3	-0.62898	-2.1492	0.0082411	0.22868	-0.55892	-1.9098	0.010122	0.28954	-0.92336	2.1998e-07	0.000177	24.0	3.0	1.0	1.0	22481.0	0.0	-0.82755	1.5399e-06	0.000806	42.0	3.0	1.0	1.0	22463.0	0.0	-0.1773261871259159	
NDP	4693	P1P2	3	-0.43105	-2.3174	0.021678	0.36862	3	-0.49606	-2.0331	0.020916	0.37084	-0.36723	-1.5051	0.046894	0.55479	-0.74429	1.6939e-05	0.005016	75.0	3.0	1.0	1.0	22433.0	0.0	-0.49032	5.9615e-05	0.013551	99.0	3.0	0.99998	1.0	22413.0	0.0	0.0754266468359156	
NFKBID	84807	P1	3	-0.57968	-2.5086	0.0060017	0.18544	3	-0.55852	-1.8222	0.013034	0.2839	-0.60649	-1.9786	0.0068079	0.24715	-0.71882	0.0002796	0.041384	152.0	3.0	0.99991	1.0	22362.0	0.0	-0.79969	0.00026772	0.043344	139.0	3.0	0.99991	1.0	22375.0	0.0	0.0814413680819441	
OPTN	10133	P1P2	3	-1.2362	-3.302	0.0	0.0	3	-1.3666	-3.2671	0.0	0.0	-1.0958	-2.6193	8.9578e-05	0.018182	-2.0462	6.8195e-06	0.002896	53.0	3.0	1.0	1.0	22452.0	0.0	-1.6755	0.00014057	0.026808	118.0	3.0	0.99996	1.0	22395.0	0.0	0.2937764338130628	
OR4A16	81327	ENST00000314721.2	3	-1.1609	-3.2293	4.4789e-05	0.006135	3	-1.1346	-2.7764	0.0	0.0	-1.1581	-2.8335	4.4789e-05	0.010417	-1.6851	2.1998e-07	0.000177	6.0	3.0	1.0	1.0	22499.0	0.0	-1.8399	2.1998e-07	0.000198	8.0	3.0	1.0	1.0	22497.0	0.0	0.096148176962629	surface
PARD6A	50855	P1P2	3	-1.2404	-3.3555	0.0	0.0	3	-1.2281	-2.7693	0.0	0.0	-1.2394	-2.7943	4.4789e-05	0.010417	-1.7977	2.1998e-07	0.000177	13.0	3.0	1.0	1.0	22492.0	0.0	-1.8985	2.1998e-07	0.000198	11.0	3.0	1.0	1.0	22494.0	0.0	0.1795561507562262	
PIGA	5277	P1P2	3	-0.96652	-2.9501	0.00013437	0.012712	3	-0.91963	-2.43	0.00062704	0.049822	-1.0082	-2.6638	0.00017916	0.028169	-1.3202	1.3859e-05	0.004586	68.0	3.0	0.99999	1.0	22424.0	0.0	-1.4958	5.0596e-06	0.002109	54.0	3.0	1.0	1.0	22437.0	0.0	0.0748709760868388	nonsurface
PSMB8	5696	P1P2	3	-0.99556	-3.0274	8.9578e-05	0.0088889	3	-1.0449	-2.6323	4.4789e-05	0.0061728	-0.9386	-2.3634	0.00035831	0.043011	-1.5179	3.7397e-06	0.00187	43.0	3.0	1.0	1.0	22462.0	0.0	-1.3161	1.1659e-05	0.003803	68.0	3.0	0.99998	1.0	22410.0	0.0	-0.0131925727578202	
PSMB9	5698	P1	3	-1.2627	-3.3377	0.0	0.0	3	-1.2592	-2.88	0.0	0.0	-1.2425	-2.8414	4.4789e-05	0.010417	-1.6642	2.1998e-07	0.000177	7.0	3.0	1.0	1.0	22498.0	0.0	-1.8789	2.1998e-07	0.000198	6.0	3.0	1.0	1.0	22499.0	0.0	0.1106664445596805	
PSMB9	5698	P2	3	-0.75505	-2.6979	0.00094057	0.056	3	-0.77001	-2.3655	0.0029113	0.1383	-0.73694	-2.2639	0.0021499	0.14583	-1.1677	2.1998e-07	0.000177	19.0	3.0	1.0	1.0	22486.0	0.0	-1.0483	6.5995e-07	0.000479	28.0	3.0	1.0	1.0	22477.0	0.0	0.1106664445596805	
QSOX2	169714	P1P2	3	-0.65379	-2.5252	0.0029113	0.11324	3	-0.58979	-1.9493	0.010122	0.24862	-0.71668	-2.3683	0.0026873	0.16667	-0.80534	6.5775e-05	0.014097	104.0	3.0	0.99998	1.0	22407.0	0.0	-1.0773	4.1797e-06	0.001844	51.0	3.0	1.0	1.0	22454.0	0.0	-0.2061607528363783	surface
RASGEF1B	153020	P1P2	3	-0.42011	-2.2851	0.024007	0.38561	3	-0.35494	-1.5683	0.058853	0.61459	-0.47883	-2.1156	0.018901	0.37882	-0.53958	0.00026464	0.040099	148.0	3.0	0.99991	1.0	22365.0	0.0	-0.63854	0.00015817	0.028785	123.0	3.0	0.99995	1.0	22391.0	0.0	0.011620627085937	
RFWD2	64326	P1P2	3	-0.55754	-2.4058	0.0073454	0.20577	3	-0.55782	-2.1822	0.013078	0.2846	-0.55246	-2.1612	0.010436	0.29382	-0.73794	1.1219e-05	0.003945	62.0	3.0	1.0	1.0	22443.0	0.0	-0.87303	3.8937e-05	0.010309	85.0	3.0	0.99965	1.0	22318.0	0.0	-0.093162815835802	
RILP	83547	P1P2	3	-0.7343	-2.734	0.0011645	0.064516	3	-0.72376	-2.3145	0.0038966	0.15732	-0.73791	-2.3598	0.0021499	0.14583	-1.0341	2.1998e-07	0.000177	17.0	3.0	1.0	1.0	22488.0	0.0	-1.0715	2.1998e-07	0.000198	12.0	3.0	1.0	1.0	22493.0	0.0	0.0103394008358936	
RPH3AL	9501	P1P2	3	-1.2687	-3.3676	0.0	0.0	3	-1.2189	-2.7444	0.0	0.0	-1.3212	-2.9738	4.4789e-05	0.010417	-1.9145	2.1998e-07	0.000177	11.0	3.0	1.0	1.0	22494.0	0.0	-1.9373	2.1998e-07	0.000198	13.0	3.0	1.0	1.0	22492.0	0.0	-0.0965903904139983	
RUNX3	864	P2	3	-0.98223	-2.9917	8.9578e-05	0.0088889	3	-0.92536	-2.3532	0.00058225	0.047445	-1.034	-2.6296	0.00013437	0.024	-1.2904	2.1998e-07	0.000177	2.0	3.0	1.0	1.0	22503.0	0.0	-1.6116	2.1998e-07	0.000198	2.0	3.0	1.0	1.0	22503.0	0.0	-0.0612026504585871	
SEC23B	10483	P1P2	3	-1.4508	-3.6567	0.0	0.0	3	-1.4383	-3.0102	0.0	0.0	-1.46	-3.0547	0.0	0.0	-2.087	2.1998e-07	0.000177	16.0	3.0	1.0	1.0	22489.0	0.0	-2.1941	2.1998e-07	0.000198	17.0	3.0	1.0	1.0	22488.0	0.0	-0.0641840278074739	
