ID,gene,UMI_count
00061_3,ABCC11_P2,38
00062_1,ABCC12_ENST00000311303.3,103
00062_2,ABCC12_ENST00000311303.3,99
00062_3,ABCC12_ENST00000311303.3,25
00063_1,ABCC2_P1P2,48
00063_2,ABCC2_P1P2,63
00063_3,ABCC2_P1P2,38
00064_1,ABCC3_P1P2,131
00064_2,ABCC3_P1P2,135
00064_3,ABCC3_P1P2,68
00065_1,ABCC4_P1P2,94
00065_2,ABCC4_P1P2,97
00065_3,ABCC4_P1P2,260
00066_1,ABCC5_P1P2,175
00066_2,ABCC5_P1P2,108
00066_3,ABCC5_P1P2,95
00067_1,ABCC6_ENST00000205557.7,44
00067_2,ABCC6_ENST00000205557.7,42
00067_3,ABCC6_ENST00000205557.7,29
00068_1,ABCC8_P1P2,77
00068_2,ABCC8_P1P2,87
00068_3,ABCC8_P1P2,36
00069_1,ABCC9_P1P2,3
00069_2,ABCC9_P1P2,37
00069_3,ABCC9_P1P2,17
00070_1,ABCD1_P1P2,49
00070_2,ABCD1_P1P2,131
00070_3,ABCD1_P1P2,109
00071_1,ABCD2_P1P2,32
00071_2,ABCD2_P1P2,21
00071_3,ABCD2_P1P2,112
00072_1,ABCD3_P1P2,22
00072_2,ABCD3_P1P2,75
00072_3,ABCD3_P1P2,31
00073_1,ABCD4_P1P2,225
00073_2,ABCD4_P1P2,338
00073_3,ABCD4_P1P2,302
00074_1,ABCE1_P1P2,7
00074_2,ABCE1_P1P2,20
00074_3,ABCE1_P1P2,43
00075_1,ABCF1_P1,36
00075_2,ABCF1_P1,24
00075_3,ABCF1_P1,12
00076_1,ABCF1_P2,24
00076_2,ABCF1_P2,39
00076_3,ABCF1_P2,65
00077_1,ABCF2_P1P2,73
00077_2,ABCF2_P1P2,369
00077_3,ABCF2_P1P2,47
00078_1,ABCF3_P1P2,55
00078_2,ABCF3_P1P2,122
00078_3,ABCF3_P1P2,145
00079_1,ABCG1_P1P2,67
00079_2,ABCG1_P1P2,155
00079_3,ABCG1_P1P2,104
00080_1,ABCG2_P1P2,40
00080_2,ABCG2_P1P2,70
00080_3,ABCG2_P1P2,35
00081_1,ABCG4_P1P2,60
00081_2,ABCG4_P1P2,32
00081_3,ABCG4_P1P2,12
00082_1,ABCG5_P1P2,51
00082_2,ABCG5_P1P2,92
00082_3,ABCG5_P1P2,60
00083_1,ABCG8_P1P2,92
00083_2,ABCG8_P1P2,87
00083_3,ABCG8_P1P2,125
00084_1,ABHD1_P1P2,76
00084_2,ABHD1_P1P2,43
00084_3,ABHD1_P1P2,85
00085_1,ABHD10_P1P2,29
00085_2,ABHD10_P1P2,27
00085_3,ABHD10_P1P2,53
00086_1,ABHD11_P1P2,51
00086_2,ABHD11_P1P2,96
00086_3,ABHD11_P1P2,77
00087_1,ABHD12_P1P2,33
00087_2,ABHD12_P1P2,56
00087_3,ABHD12_P1P2,82
00088_1,ABHD12B_P1P2,120
00088_2,ABHD12B_P1P2,25
00088_3,ABHD12B_P1P2,34
00089_1,ABHD13_P1P2,17
00089_2,ABHD13_P1P2,17
00089_3,ABHD13_P1P2,17
00090_1,ABHD14A_P1P2,34
00090_2,ABHD14A_P1P2,16
00090_3,ABHD14A_P1P2,19
00091_1,ABHD14B_P1,28
00091_2,ABHD14B_P1,54
00091_3,ABHD14B_P1,68
00092_1,ABHD14B_P2,190
00092_2,ABHD14B_P2,44
00092_3,ABHD14B_P2,38
00093_1,ABHD15_P1P2,28
00093_2,ABHD15_P1P2,28
00093_3,ABHD15_P1P2,19
00094_1,ABHD16A_P1P2,64
00094_2,ABHD16A_P1P2,125
00094_3,ABHD16A_P1P2,127
00095_1,ABHD16B_P1P2,45
00095_2,ABHD16B_P1P2,101
00095_3,ABHD16B_P1P2,98
00096_1,ABHD17A_P1P2,113
00096_2,ABHD17A_P1P2,71
00096_3,ABHD17A_P1P2,22
00097_1,ABHD17B_P1P2,31
00097_2,ABHD17B_P1P2,7
00097_3,ABHD17B_P1P2,12
00098_1,ABHD17C_P1P2,67
00098_2,ABHD17C_P1P2,70
00098_3,ABHD17C_P1P2,26
00099_1,ABHD2_P1P2,107
00099_2,ABHD2_P1P2,84
00099_3,ABHD2_P1P2,75
00100_1,ABHD3_P1P2,9
00100_2,ABHD3_P1P2,2
00100_3,ABHD3_P1P2,7
00101_1,ABHD4_P1P2,1
00101_2,ABHD4_P1P2,82
00101_3,ABHD4_P1P2,25
00102_1,ABHD5_P1P2,83
00102_2,ABHD5_P1P2,17
00102_3,ABHD5_P1P2,36
00103_1,ABHD6_P1P2,49
00103_2,ABHD6_P1P2,133
00103_3,ABHD6_P1P2,221
00104_1,ABHD8_P1P2,31
00104_2,ABHD8_P1P2,24
00104_3,ABHD8_P1P2,5
00105_1,ABI1_P1P2,44
00105_2,ABI1_P1P2,32
00105_3,ABI1_P1P2,33
00106_1,ABI2_P1P2,60
00106_2,ABI2_P1P2,37
00106_3,ABI2_P1P2,53
00107_1,ABI3_P1P2,111
00107_2,ABI3_P1P2,17
00107_3,ABI3_P1P2,27
00108_1,ABI3BP_P1P2,121
00108_2,ABI3BP_P1P2,21
00108_3,ABI3BP_P1P2,51
00109_1,ABL1_ENST00000372348.2,125
00109_2,ABL1_ENST00000372348.2,79
00109_3,ABL1_ENST00000372348.2,26
00110_1,ABL2_P1,20
00110_2,ABL2_P1,72
00110_3,ABL2_P1,101
00111_1,ABL2_P2,49
00111_2,ABL2_P2,97
00111_3,ABL2_P2,36
00112_1,ABLIM1_ENST00000277895.5,80
00112_2,ABLIM1_ENST00000277895.5,96
00112_3,ABLIM1_ENST00000277895.5,57
00113_1,ABLIM2_P1P2,256
00113_2,ABLIM2_P1P2,160
00113_3,ABLIM2_P1P2,34
00114_1,ABLIM3_P1P2,13
00114_2,ABLIM3_P1P2,104
00114_3,ABLIM3_P1P2,40
00115_1,ABO_P1,24
00115_2,ABO_P1,70
00115_3,ABO_P1,66
00116_1,ABO_P2,75
00116_2,ABO_P2,116
00116_3,ABO_P2,108
00117_1,ABR_P1P2,98
00117_2,ABR_P1P2,37
00117_3,ABR_P1P2,45
00118_1,ABRA_P1P2,37
00118_2,ABRA_P1P2,131
00118_3,ABRA_P1P2,14
00119_1,ABRACL_P1P2,24
00119_2,ABRACL_P1P2,167
00119_3,ABRACL_P1P2,76
00120_1,ABT1_P1P2,24
00120_2,ABT1_P1P2,11
00120_3,ABT1_P1P2,13
00121_1,ABTB1_P1P2,85
00121_2,ABTB1_P1P2,61
00121_3,ABTB1_P1P2,28
00122_1,ABTB2_P1P2,32
00122_2,ABTB2_P1P2,50
00122_3,ABTB2_P1P2,19
00123_1,ACAA1_P1P2,135
00123_2,ACAA1_P1P2,140
00123_3,ACAA1_P1P2,157
00124_1,ACAA2_P1P2,26
00124_2,ACAA2_P1P2,34
00124_3,ACAA2_P1P2,63
00125_1,ACACA_P1P2,25
00125_2,ACACA_P1P2,58
00125_3,ACACA_P1P2,33
00126_1,ACACB_P1,52
00126_2,ACACB_P1,101
00126_3,ACACB_P1,54
00127_1,ACACB_P2,137
00127_2,ACACB_P2,46
00127_3,ACACB_P2,167
00128_1,ACAD10_P1P2,151
00128_2,ACAD10_P1P2,153
00128_3,ACAD10_P1P2,62
00129_1,ACAD11_P1P2,82
00129_2,ACAD11_P1P2,10
00129_3,ACAD11_P1P2,18
00130_1,ACAD8_P1P2,35
00130_2,ACAD8_P1P2,48
00130_3,ACAD8_P1P2,113
00131_1,ACAD9_P1P2,75
00131_2,ACAD9_P1P2,146
00131_3,ACAD9_P1P2,53
00132_1,ACADL_P1P2,33
00132_2,ACADL_P1P2,96
00132_3,ACADL_P1P2,55
00133_1,ACADM_P1P2,13
00133_2,ACADM_P1P2,4
00133_3,ACADM_P1P2,5
00134_1,ACADS_P1P2,66
00134_2,ACADS_P1P2,34
00134_3,ACADS_P1P2,27
00135_1,ACADSB_P1P2,43
00135_2,ACADSB_P1P2,39
00135_3,ACADSB_P1P2,73
00136_1,ACADVL_P1P2,56
00136_2,ACADVL_P1P2,65
00136_3,ACADVL_P1P2,120
00137_1,ACAN_P1P2,89
00137_2,ACAN_P1P2,50
00137_3,ACAN_P1P2,104
00138_1,ACAP1_P1P2,37
00138_2,ACAP1_P1P2,12
00138_3,ACAP1_P1P2,24
00139_1,ACAP2_P1P2,54
00139_2,ACAP2_P1P2,93
00139_3,ACAP2_P1P2,92
00140_1,ACAP3_P1P2,12
00140_2,ACAP3_P1P2,26
00140_3,ACAP3_P1P2,56
00141_1,ACAT1_P1P2,54
00141_2,ACAT1_P1P2,52
00141_3,ACAT1_P1P2,115
00142_1,ACAT2_P1P2,22
00142_2,ACAT2_P1P2,33
00142_3,ACAT2_P1P2,101
00143_1,ACBD3_P1P2,58
00143_2,ACBD3_P1P2,88
00143_3,ACBD3_P1P2,101
00144_1,ACBD4_P1,19
00144_2,ACBD4_P1,54
00144_3,ACBD4_P1,79
00145_1,ACBD4_P2,30
00145_2,ACBD4_P2,36
00145_3,ACBD4_P2,73
00146_1,ACBD5_P1P2,42
00146_2,ACBD5_P1P2,109
00146_3,ACBD5_P1P2,53
00147_1,ACBD6_P1P2,66
00147_2,ACBD6_P1P2,29
00147_3,ACBD6_P1P2,15
00148_1,ACBD7_P1P2,10
00148_2,ACBD7_P1P2,91
00148_3,ACBD7_P1P2,17
00149_1,ACCS_P1P2,1957
00149_2,ACCS_P1P2,2652
00149_3,ACCS_P1P2,551
00150_1,ACCSL_ENST00000378832.1,114
00150_2,ACCSL_ENST00000378832.1,33
00150_3,ACCSL_ENST00000378832.1,170
00151_1,ACD_P1P2,29
00151_2,ACD_P1P2,33
00151_3,ACD_P1P2,25
00152_1,ACE_P1,17
00152_2,ACE_P1,56
00152_3,ACE_P1,37
00153_1,ACE_P2,24
00153_2,ACE_P2,120
00153_3,ACE_P2,19
00154_1,ACE2_P1P2,533
00154_2,ACE2_P1P2,256
00154_3,ACE2_P1P2,36
00155_1,ACER1_P1P2,30
00155_2,ACER1_P1P2,109
00155_3,ACER1_P1P2,122
00156_1,ACER2_P1P2,52
00156_2,ACER2_P1P2,88
00156_3,ACER2_P1P2,20
00157_1,ACER3_P1P2,35
00157_2,ACER3_P1P2,60
00157_3,ACER3_P1P2,30
00158_1,ACHE_P1,37
00158_2,ACHE_P1,19
00158_3,ACHE_P1,66
00159_1,ACHE_P2,42
00159_2,ACHE_P2,14
00159_3,ACHE_P2,21
00160_1,ACIN1_P1,192
00160_2,ACIN1_P1,296
00160_3,ACIN1_P1,135
00161_1,ACIN1_P2,62
00161_2,ACIN1_P2,42
00161_3,ACIN1_P2,273
00162_1,ACKR1_CP,234
00162_2,ACKR1_CP,95
00162_3,ACKR1_CP,44
00163_1,ACKR2_P1P2,35
00163_2,ACKR2_P1P2,69
00163_3,ACKR2_P1P2,89
00164_1,ACKR3_P1,216
00164_2,ACKR3_P1,55
00164_3,ACKR3_P1,269
00165_1,ACKR3_P2,32
00165_2,ACKR3_P2,38
00165_3,ACKR3_P2,24
00166_1,ACKR4_P1P2,71
00166_2,ACKR4_P1P2,40
00166_3,ACKR4_P1P2,26
00167_1,ACLY_P1P2,15
00167_2,ACLY_P1P2,1
00167_3,ACLY_P1P2,11
00168_1,ACMSD_P1P2,69
00168_2,ACMSD_P1P2,101
00168_3,ACMSD_P1P2,112
00169_1,ACN9_P1P2,36
00169_2,ACN9_P1P2,30
00169_3,ACN9_P1P2,53
00170_1,ACO1_P1P2,35
00170_2,ACO1_P1P2,93
00170_3,ACO1_P1P2,65
00171_1,ACO2_P1P2,55
00171_2,ACO2_P1P2,179
00171_3,ACO2_P1P2,197
00172_1,ACOD1_CP,9
00172_2,ACOD1_CP,52
00172_3,ACOD1_CP,60
00173_1,ACOT1_P1P2,45
00173_2,ACOT1_P1P2,85
00173_3,ACOT1_P1P2,116
00174_1,ACOT11_P1,88
00174_2,ACOT11_P1,30
00174_3,ACOT11_P1,91
00175_1,ACOT11_P2,22
00175_2,ACOT11_P2,69
00175_3,ACOT11_P2,11
00176_1,ACOT12_P1P2,61
00176_2,ACOT12_P1P2,49
00176_3,ACOT12_P1P2,62
00177_1,ACOT13_P1P2,46
00177_2,ACOT13_P1P2,41
00177_3,ACOT13_P1P2,118
00178_1,ACOT2_P1P2,127
00178_2,ACOT2_P1P2,129
00178_3,ACOT2_P1P2,268
00179_1,ACOT4_P1P2,33
00179_2,ACOT4_P1P2,33
00179_3,ACOT4_P1P2,8
00180_1,ACOT6_P1P2,78
00180_2,ACOT6_P1P2,61
00180_3,ACOT6_P1P2,99
00181_1,ACOT7_P1P2,134
00181_2,ACOT7_P1P2,43
00181_3,ACOT7_P1P2,39
00182_1,ACOT8_P1P2,38
00182_2,ACOT8_P1P2,65
00182_3,ACOT8_P1P2,42
00183_1,ACOT9_P1P2,120
00183_2,ACOT9_P1P2,127
00183_3,ACOT9_P1P2,77
00184_1,ACOX1_P1P2,6
00184_2,ACOX1_P1P2,42
00184_3,ACOX1_P1P2,17
00185_1,ACOX2_P1,76
00185_2,ACOX2_P1,35
00185_3,ACOX2_P1,15
00186_1,ACOX2_P2,40
00186_2,ACOX2_P2,29
00186_3,ACOX2_P2,100
00187_1,ACOX3_P1,23
00187_2,ACOX3_P1,49
00187_3,ACOX3_P1,77
00188_1,ACOX3_P2,59
00188_2,ACOX3_P2,34
00188_3,ACOX3_P2,198
00189_1,ACOXL_P1P2,30
00189_2,ACOXL_P1P2,155
00189_3,ACOXL_P1P2,76
00190_1,ACP1_P1P2,11
00190_2,ACP1_P1P2,9
00190_3,ACP1_P1P2,5
00191_1,ACP2_P1P2,24
00191_2,ACP2_P1P2,22
00191_3,ACP2_P1P2,43
00192_1,ACP5_P1,35
00192_2,ACP5_P1,19
00192_3,ACP5_P1,60
00193_1,ACP5_P2,49
00193_2,ACP5_P2,151
00193_3,ACP5_P2,66
00194_1,ACP6_P1P2,35
00194_2,ACP6_P1P2,26
00194_3,ACP6_P1P2,26
00195_1,ACPL2_P1P2,56
00195_2,ACPL2_P1P2,97
00195_3,ACPL2_P1P2,73
00196_1,ACPP_P1P2,39
00196_2,ACPP_P1P2,120
00196_3,ACPP_P1P2,86
00197_1,ACPT_ENST00000270593.1,28
00197_2,ACPT_ENST00000270593.1,115
00197_3,ACPT_ENST00000270593.1,33
00198_1,ACR_P1P2,93
00198_2,ACR_P1P2,69
00198_3,ACR_P1P2,200
00199_1,ACRBP_P1P2,98
00199_2,ACRBP_P1P2,57
00199_3,ACRBP_P1P2,36
00200_1,ACRC_P1P2,60
00200_2,ACRC_P1P2,23
00200_3,ACRC_P1P2,82
00201_1,ACRV1_P1P2,48
00201_2,ACRV1_P1P2,127
00201_3,ACRV1_P1P2,252
00202_1,ACSBG1_P1P2,114
00202_2,ACSBG1_P1P2,233
00202_3,ACSBG1_P1P2,199
00203_1,ACSBG2_P1P2,140
00203_2,ACSBG2_P1P2,136
00203_3,ACSBG2_P1P2,107
00204_1,ACSF2_P1P2,17
00204_2,ACSF2_P1P2,36
00204_3,ACSF2_P1P2,67
00205_1,ACSF3_P1P2,80
00205_2,ACSF3_P1P2,31
00205_3,ACSF3_P1P2,22
00206_1,ACSL1_P1P2,93
00206_2,ACSL1_P1P2,103
00206_3,ACSL1_P1P2,33
00207_1,ACSL3_P1P2,45
00207_2,ACSL3_P1P2,33
00207_3,ACSL3_P1P2,34
00208_1,ACSL4_P1P2,44
00208_2,ACSL4_P1P2,38
00208_3,ACSL4_P1P2,52
00209_1,ACSL5_P1,16
00209_2,ACSL5_P1,23
00209_3,ACSL5_P1,80
00210_1,ACSL5_P2,64
00210_2,ACSL5_P2,92
00210_3,ACSL5_P2,57
00211_1,ACSL6_P1,5
00211_2,ACSL6_P1,7
00212_1,ACSL6_P2,48
00212_2,ACSL6_P2,146
00212_3,ACSL6_P2,161
00213_1,ACSM1_P1P2,58
00213_2,ACSM1_P1P2,34
00213_3,ACSM1_P1P2,27
00214_1,ACSM2A_P1P2,184
00214_2,ACSM2A_P1P2,56
00214_3,ACSM2A_P1P2,49
00215_1,ACSM2B_P1P2,78
00215_2,ACSM2B_P1P2,39
00215_3,ACSM2B_P1P2,26
00216_1,ACSM3_P1P2,238
00216_2,ACSM3_P1P2,237
00216_3,ACSM3_P1P2,109
00217_1,ACSM4_ENST00000399422.4,277
00217_2,ACSM4_ENST00000399422.4,63
00217_3,ACSM4_ENST00000399422.4,125
00218_1,ACSM5_P1P2,74
00218_2,ACSM5_P1P2,115
00218_3,ACSM5_P1P2,109
00219_1,ACSM6_CP,130
00219_2,ACSM6_CP,47
00219_3,ACSM6_CP,78
00220_1,ACSS1_P1P2,11
00220_2,ACSS1_P1P2,50
00220_3,ACSS1_P1P2,154
00221_1,ACSS2_P1P2,44
00221_2,ACSS2_P1P2,179
00221_3,ACSS2_P1P2,15
00222_1,ACSS3_P1P2,23
00222_2,ACSS3_P1P2,27
00222_3,ACSS3_P1P2,87
00223_1,ACTA1_P1,91
00223_2,ACTA1_P1,111
00223_3,ACTA1_P1,91
00224_1,ACTA1_P2,59
00224_2,ACTA1_P2,110
00224_3,ACTA1_P2,55
00225_1,ACTA2_P1,78
00225_2,ACTA2_P1,76
00225_3,ACTA2_P1,95
00226_1,ACTA2_P2,49
00226_2,ACTA2_P2,40
00226_3,ACTA2_P2,33
00227_1,ACTB_P1P2,14
00227_2,ACTB_P1P2,55
00227_3,ACTB_P1P2,16
00228_1,ACTBL2_P1P2,53
00228_2,ACTBL2_P1P2,27
00228_3,ACTBL2_P1P2,46
00229_1,ACTC1_P1P2,53
00229_2,ACTC1_P1P2,21
00229_3,ACTC1_P1P2,136
00230_1,ACTG1_P1P2,5
00230_2,ACTG1_P1P2,9
00230_3,ACTG1_P1P2,33
00231_1,ACTG2_P1,116
00231_2,ACTG2_P1,67
00231_3,ACTG2_P1,346
00232_1,ACTG2_P2,45
00232_2,ACTG2_P2,140
00232_3,ACTG2_P2,139
00233_1,ACTL10_P1P2,88
00233_2,ACTL10_P1P2,79
00233_3,ACTL10_P1P2,51
00234_1,ACTL6A_P1P2,23
00234_2,ACTL6A_P1P2,17
00234_3,ACTL6A_P1P2,16
00235_1,ACTL6B_P1P2,65
00235_2,ACTL6B_P1P2,65
00235_3,ACTL6B_P1P2,22
00236_1,ACTL7A_P1P2,128
00236_2,ACTL7A_P1P2,172
00236_3,ACTL7A_P1P2,93
00237_1,ACTL7B_P1P2,145
00237_2,ACTL7B_P1P2,23
00237_3,ACTL7B_P1P2,64
00238_1,ACTL8_P1P2,50
00238_2,ACTL8_P1P2,78
00238_3,ACTL8_P1P2,42
00239_1,ACTL9_P1P2,69
00239_2,ACTL9_P1P2,5
00239_3,ACTL9_P1P2,100
00240_1,ACTN1_P1P2,141
00240_2,ACTN1_P1P2,48
00240_3,ACTN1_P1P2,100
00241_1,ACTN2_P1P2,19
00241_2,ACTN2_P1P2,33
00241_3,ACTN2_P1P2,105
00242_1,ACTN3_P1P2,158
00242_2,ACTN3_P1P2,35
00242_3,ACTN3_P1P2,161
00243_1,ACTN4_P1P2,45
00243_2,ACTN4_P1P2,22
00243_3,ACTN4_P1P2,26
00244_1,ACTR10_P1P2,65
00244_2,ACTR10_P1P2,15
00244_3,ACTR10_P1P2,23
00245_1,ACTR1A_P1P2,26
00245_2,ACTR1A_P1P2,70
00245_3,ACTR1A_P1P2,44
00246_1,ACTR1B_P1P2,90
00246_2,ACTR1B_P1P2,13
00246_3,ACTR1B_P1P2,23
00247_1,ACTR2_P1P2,21
00247_2,ACTR2_P1P2,82
00247_3,ACTR2_P1P2,76
00248_1,ACTR3_P1P2,38
00248_2,ACTR3_P1P2,15
00248_3,ACTR3_P1P2,47
00249_1,ACTR3B_P1P2,25
00249_2,ACTR3B_P1P2,59
00249_3,ACTR3B_P1P2,45
00250_1,ACTR3C_P1P2,2
00250_2,ACTR3C_P1P2,123
00250_3,ACTR3C_P1P2,29
00251_1,ACTR5_P1P2,22
00251_2,ACTR5_P1P2,15
00251_3,ACTR5_P1P2,43
00252_1,ACTR6_P1P2,92
00252_2,ACTR6_P1P2,48
00252_3,ACTR6_P1P2,23
00253_1,ACTR8_P1P2,171
00253_2,ACTR8_P1P2,13
00253_3,ACTR8_P1P2,69
00254_1,ACTRT1_P1P2,316
00254_2,ACTRT1_P1P2,30
00254_3,ACTRT1_P1P2,163
00255_1,ACTRT2_P1P2,178
00255_2,ACTRT2_P1P2,109
00255_3,ACTRT2_P1P2,86
00256_1,ACTRT3_P1P2,61
00256_2,ACTRT3_P1P2,43
00256_3,ACTRT3_P1P2,101
00257_1,ACVR1_P1P2,87
00257_2,ACVR1_P1P2,143
00257_3,ACVR1_P1P2,37
00258_1,ACVR1B_P1P2,18
00258_2,ACVR1B_P1P2,61
00258_3,ACVR1B_P1P2,35
00259_1,ACVR1C_P1P2,198
00259_2,ACVR1C_P1P2,68
00259_3,ACVR1C_P1P2,103
00260_1,ACVR2A_P1P2,26
00260_2,ACVR2A_P1P2,119
00260_3,ACVR2A_P1P2,106
00261_1,ACVR2B_P1P2,86
00261_2,ACVR2B_P1P2,55
00261_3,ACVR2B_P1P2,81
00262_1,ACVRL1_P1P2,267
00262_2,ACVRL1_P1P2,174
00262_3,ACVRL1_P1P2,129
00263_1,ACY1_P1P2,217
00263_2,ACY1_P1P2,75
00263_3,ACY1_P1P2,58
00264_1,ACY3_P1,56
00264_2,ACY3_P1,103
00264_3,ACY3_P1,3
00265_1,ACY3_P2,91
00265_2,ACY3_P2,44
