Gene,GeneID,Transcript,MLE_sgRNA,MLE_beta,MLE_z,MLE_p-value,MLE_fdr,MLE_S_sgRNA,MLE_B_beta,MLE_B_z,MLE_B_p-value,MLE_B_fdr,MLE_C_beta,MLE_C_z,MLE_C_p-value,MLE_C_fdr,B_lfc,B_neg_p-value,B_neg_fdr,B_neg_rank,B_neg_goodsgrna,B_pos_p-value,B_pos_fdr,B_pos_rank,B_pos_goodsgrna,C_lfc,C_neg_p-value,C_neg_fdr,C_neg_rank,C_neg_goodsgrna,C_pos_p-value,C_pos_fdr,C_pos_rank,C_pos_goodsgrna,DepMap,Surfaceome,Gene_clean,Category
TRAPPC1,58485,P1P2,3,-1.3897,-3.4221,0,0,3,-1.469,-2.9524,0,0,-1.334,-2.681,4.4789e-5,0.010417,-2.0653,6.5995e-7,4.13e-4,32,3,1,1,22473,0,-1.9763,2.8598e-6,0.00143,45,3,1,1,22460,0,-1.0177298495039406,NA,TRAPPC1,neg_sig
ARHGEF35,445328,ENST00000378115.2,3,-1.3596,-3.5163,0,0,3,-1.3324,-2.8081,0,0,-1.3922,-2.9273,0,0,-2.0455,2.5738e-5,0.006735,86,3,0.99999,1,22425,0,-1.9636,3.4097e-5,0.009592,80,3,0.99999,1,22430,0,0.0995893742548422,NA,ARHGEF35,neg_sig
NDUFA1,4694,P1P2,3,-1.3851,-3.4394,0,0,3,-1.4683,-3.1423,0,0,-1.3051,-2.7925,4.4789e-5,0.010417,-1.9267,6.5995e-7,4.13e-4,29,3,1,1,22476,0,-2.0314,1.0999e-6,6.69e-4,36,3,1,1,22469,0,-0.3335392655273122,nonsurface,NDUFA1,neg_sig
SPCS2,9789,P1P2,3,-1.4106,-3.4953,0,0,3,-1.3739,-3.0123,0,0,-1.4314,-3.1375,0,0,-1.8781,2.1998e-7,1.77e-4,4,3,1,1,22501,0,-2.0793,2.1998e-7,1.98e-4,5,3,1,1,22500,0,-0.8897615554448224,nonsurface,SPCS2,neg_sig
STX18,53407,P1P2,3,-1.4322,-3.4831,0,0,3,-1.4349,-3.0095,0,0,-1.4396,-3.01,0,0,-1.8361,3.7397e-6,0.00187,45,3,1,1,22460,0,-2.119,3.7177e-5,0.010199,82,3,0.99999,1,22429,0,-0.9231284279327556,nonsurface,STX18,neg_sig
GTF3A,2971,P1P2,3,-1.4139,-1.9289,0,0,3,-1.4283,-1.1612,0,0,-1.3886,-1.129,0,0,-1.9533,2.6178e-5,0.006771,87,2,0.80849,1,17167,0,-1.907,3.6297e-5,0.010084,81,2,0.82555,1,17565,0,-0.6884187843936718,NA,GTF3A,neg_sig
RPH3AL,9501,P1P2,3,-1.2687,-3.3676,0,0,3,-1.2189,-2.7444,0,0,-1.3212,-2.9738,4.4789e-5,0.010417,-1.9145,2.1998e-7,1.77e-4,11,3,1,1,22494,0,-1.9373,2.1998e-7,1.98e-4,13,3,1,1,22492,0,-0.0965903904139983,NA,RPH3AL,neg_sig
EXOC5,10640,P1P2,3,-1.1828,-3.1802,4.4789e-5,0.006135,3,-1.1956,-2.6046,0,0,-1.1453,-2.4876,4.4789e-5,0.010417,-2.03,3.4977e-5,0.008286,95,3,0.99999,1,22415,0,-1.7825,4.0697e-5,0.010407,87,3,0.99995,1,22386,0,-0.1357269907622112,NA,EXOC5,neg_sig
SMARCE1,6605,P1P2,3,1.1414,1.0125,0,0,3,1.1147,0.82714,8.9578e-5,0.011696,1.1686,0.86682,3.5831e-4,0.043011,1.3694,1,1,22468,0,4.6196e-6,0.002666,38,3,1.6798,1,1,22479,0,6.3795e-6,0.005522,26,3,-0.4779289323297921,NA,SMARCE1,pos_sig
AGO3,192669,P1P2,3,0.96133,1.1349,0,0,3,0.99005,0.97184,2.2394e-4,0.026455,0.93611,0.91887,9.8535e-4,0.089069,1.5021,0.99998,1,22432,0,2.0458e-5,0.008221,55,3,1.4455,1,1,22471,0,1.3859e-5,0.009173,34,3,-0.1539103770214458,NA,AGO3,pos_sig
