Gene	GeneID	Transcript	MLE_sgRNA	MLE_beta	MLE_z	MLE_p-value	MLE_fdr	MLE_S_sgRNA	MLE_B_beta	MLE_B_z	MLE_B_p-value	MLE_B_fdr	MLE_C_beta	MLE_C_z	MLE_C_p-value	MLE_C_fdr	B_lfc	B_neg_p-value	B_neg_fdr	B_neg_rank	B_neg_goodsgrna	B_pos_p-value	B_pos_fdr	B_pos_rank	B_pos_goodsgrna	C_lfc	C_neg_p-value	C_neg_fdr	C_neg_rank	C_neg_goodsgrna	C_pos_p-value	C_pos_fdr	C_pos_rank	C_pos_goodsgrna	DepMap	Surfaceome
DCLRE1A	9937	P1P2	3	0.50789	1.48	0.001478	0.076212	3	0.48127	1.249	0.004031	0.15993	0.53863	1.3979	0.0058673	0.23268	0.68602	1.0	1.0	22456.0	0.0	1.4299e-05	0.006071	53.0	3.0	0.7751	1.0	1.0	22494.0	0.0	1.0999e-06	0.00225	11.0	3.0	0.1805848841261409	
DGCR8	54487	P1P2	3	0.92815	1.1613	0.0	0.0	3	0.9518	0.95819	0.00022394	0.026455	0.91615	0.92228	0.0011197	0.097276	1.354	1.0	1.0	22499.0	0.0	2.1998e-07	0.000236	6.0	3.0	1.1694	1.0	1.0	22488.0	0.0	2.8598e-06	0.003786	17.0	3.0	-0.4236851799905263	
DICER1	23405	P1P2	3	0.8544	1.2223	0.0	0.0	3	0.85716	1.0684	0.0004031	0.038298	0.85571	1.0665	0.0015228	0.12143	1.2367	1.0	1.0	22498.0	0.0	2.1998e-07	0.000236	7.0	3.0	1.2809	1.0	1.0	22499.0	0.0	2.1998e-07	0.000825	6.0	3.0	-0.2487781268777871	
EMC2	9694	P1P2	3	0.62722	1.3803	0.00017916	0.015686	3	0.59629	1.0876	0.0014332	0.088398	0.66359	1.2104	0.0033592	0.17701	0.87199	1.0	1.0	22466.0	0.0	5.0596e-06	0.002847	40.0	3.0	0.93879	1.0	1.0	22487.0	0.0	3.2997e-06	0.004125	18.0	3.0	-0.4272323849488809	
EMC6	83460	P1P2	3	0.51871	1.4616	0.0012541	0.068627	3	0.52494	0.46322	0.0026425	0.1291	0.51728	0.45646	0.0068975	0.24799	0.72892	1.0	1.0	22464.0	0.0	6.8195e-06	0.003488	43.0	3.0	0.70153	1.0	1.0	22481.0	0.0	5.0596e-06	0.004744	24.0	3.0	-0.4136024157621576	nonsurface
EMC7	56851	P1P2	3	0.78139	1.2563	0.0	0.0	3	0.72401	1.0667	0.00058225	0.047445	0.8391	1.2363	0.0015228	0.12143	1.0478	1.0	1.0	22485.0	0.0	2.1998e-07	0.000236	20.0	3.0	1.187	1.0	1.0	22503.0	0.0	2.1998e-07	0.000825	2.0	3.0	-0.6855502910689616	
HTR3C	170572	P1P2	3	0.56325	1.4251	0.00076141	0.048991	3	0.58036	1.1697	0.0015228	0.089947	0.54722	1.1029	0.0056434	0.22744	0.85224	0.99999	1.0	22435.0	0.0	5.3896e-05	0.015752	77.0	3.0	0.6882	0.99999	1.0	22445.0	0.0	5.0376e-05	0.018894	60.0	3.0	-0.0273395860218578	surface
IFI30	10437	P1P2	3	0.6482	1.3548	8.9578e-05	0.0088889	3	0.61415	0.98756	0.0012093	0.079882	0.68557	1.1024	0.0030456	0.17128	0.88864	1.0	1.0	22480.0	0.0	6.5995e-07	0.000594	25.0	3.0	0.9312	1.0	1.0	22483.0	0.0	4.1797e-06	0.004275	22.0	3.0	-0.1010860522752872	
IPO11	51194	P1P2	3	0.74032	1.2884	0.0	0.0	3	0.81572	1.2575	0.00044789	0.041841	0.66537	1.0257	0.0032696	0.1759	1.1847	1.0	1.0	22486.0	0.0	2.1998e-07	0.000236	19.0	3.0	0.97212	0.99999	1.0	22458.0	0.0	2.9698e-05	0.01422	47.0	3.0	-1.3253864220011642	
KLHL35	283212	P1P2	3	0.45197	1.5184	0.0027321	0.11031	3	0.49589	1.3848	0.0035831	0.15444	0.41118	1.1483	0.014377	0.3375	0.70701	1.0	1.0	22462.0	0.0	8.5793e-06	0.004142	46.0	3.0	0.58447	0.99999	1.0	22453.0	0.0	4.0257e-05	0.017422	52.0	3.0	0.1963914353912247	
