comparison,sample,n_barcodes,median,mean,p95,p99
NT466_B,before,66954,-0.44495784652731085,-0.46676661257573865,1.2817897933646611,2.18908324686215
NT466_B,after,66954,-0.019603854024367616,-0.0563903437846598,0.5145871723889063,0.942336801822165
NT466_C,before,66954,-0.19708524548433365,-0.43487791815804244,1.093512651915159,1.8844799381372288
NT466_C,after,66954,-0.020202455544294,-0.045989438629802544,0.5309783575655352,1.034349901591843
NT466_D,before,66954,-0.1460678814180792,-0.4325390012043594,1.0236189888863194,1.7550017187585034
NT466_D,after,66954,-0.20691673796359733,-0.06390689931536128,1.6939018120814326,3.150001554633509
