Gene,MLE_beta,MLE_z,absz,MLE_fdr,rra_maxfdr,B_lfc,C_lfc,tier,origin,DepMap,surface,program,program_evidence,likely_general
CCDC115,0.47578,1.4568,1.4568,0.10196,0.029969,0.61764,0.75503,T1-core,new,-0.8059253461492291,False,Other / unclear,no keyword match,True
TMEM186,0.51035,1.4594,1.4594,0.074766,0.027668,0.67978,0.79266,T1-core,new,-0.1566118705589024,False,Metabolism / mitochondria (likely general),mitochondrial,True
EMC6,0.51871,1.4616,1.4616,0.068627,0.004744,0.72892,0.70153,T1-core,new,-0.4136024157621576,False,Autophagy–secretion & DAMP,\bautophagosome\b,False
DCLRE1A,0.50789,1.48,1.48,0.076212,0.006071,0.68602,0.7751,T1-core,new,0.1805848841261409,False,Other / unclear,no keyword match,True
UFM1,0.44817,1.5066,1.5066,0.11324,0.02468,0.64559,0.56074,T1-core,new,-0.2376091258807066,False,Other / unclear,no keyword match,True
KLHL35,0.45197,1.5184,1.5184,0.11031,0.017422,0.70701,0.58447,T1-core,new,0.1963914353912247,False,Ubiquitin–proteasome / protein degradation,proteasom,False
AP3B2,0.42324,1.533,1.533,0.14764,0.015752,0.66372,0.62263,T1-core,new,0.2421228182732757,False,ER-Golgi / COPII vesicular transport,vesicle coating,False
MRPS12,0.38896,1.5677,1.5677,0.19897,0.046948,0.55853,0.57831,T1-core,new,-1.3747005019687748,False,Metabolism / mitochondria (likely general),mitochondrial,True
PLRG1,-1.5389,-3.5984,3.5984,0.0,0.075879,-2.4504,-2.2673,T2-nearmiss-RRA,new,-0.7123231319546632,False,Spliceosome / RNA processing (likely general),spliceosom,True
USPL1,-1.5375,-3.3324,3.3324,0.0,0.074137,-2.3432,-3.2847,T2-nearmiss-RRA,new,-0.9218843013845116,False,Other / unclear,no keyword match,True
NSF,-1.2182,-3.2314,3.2314,0.0,0.055778,-1.7147,-2.0046,T2-nearmiss-RRA,new,-2.3884804366961596,False,ER-Golgi / COPII vesicular transport,intra-golgi,False
WNT2B,-1.1831,-3.1785,3.1785,0.006135,0.058062,-1.9014,-1.5049,T2-nearmiss-RRA,new,-0.2695583797085608,False,Cytokine / GPCR / surface receptor signaling,cytokine,False
INTS9,-1.1613,-3.137,3.137,0.006135,0.063573,-1.5645,-2.107,T2-nearmiss-RRA,new,-1.7689858073307672,False,Cytokine / GPCR / surface receptor signaling,growth factor.*signal,False
NKAP,-1.1156,-3.1196,3.1196,0.0088889,0.065762,-1.6708,-1.4312,T2-nearmiss-RRA,new,-0.9216089995297404,False,Spliceosome / RNA processing (likely general),spliceosom,True
INTS11,-1.2108,-3.1014,3.1014,0.0,0.050536,-2.3287,-1.6036,T2-nearmiss-RRA,new,-2.162419515190867,False,Spliceosome / RNA processing (likely general),rna processing,True
FNDC1,-1.0812,-3.0334,3.0334,0.0088889,0.097579,-1.7607,-1.6413,T2-nearmiss-RRA,new,0.0523482441479931,False,Other / unclear,no keyword match,True
XRRA1,-1.1093,-3.0068,3.0068,0.0088889,0.072921,-1.3545,-1.698,T2-nearmiss-RRA,new,-0.2448620243481007,False,Other / unclear,no keyword match,True
AMIGO3,-0.89533,-2.811,2.811,0.021505,0.052756,-1.1968,-1.2529,T2-nearmiss-RRA,new,0.0174563686859018,True,Surface sensing & adhesion,cell-cell adhesion,False
KCNJ4,-0.81874,-2.7531,2.7531,0.037855,0.090383,-1.1191,-1.2358,T2-nearmiss-RRA,new,0.1688200282789666,True,Other / unclear,no keyword match,True
UBA3,-0.7588,-2.7365,2.7365,0.056,0.085085,-1.0679,-1.0094,T2-nearmiss-RRA,new,-0.5011451722219324,False,COP9 signalosome / neddylation,neddylat,False
C2orf72,-0.96422,-2.6919,2.6919,0.012712,0.087659,-1.2583,-1.0015,T2-nearmiss-RRA,new,0.3723221266335849,False,Other / unclear,no keyword match,True
RPRD1B,-0.75108,-2.6811,2.6811,0.056995,0.088157,-1.0144,-1.2124,T2-nearmiss-RRA,new,-1.4151566538308384,False,Spliceosome / RNA processing (likely general),pre-mrna,True
GTF2F2,-0.63047,-2.5325,2.5325,0.12562,0.074645,-0.99082,-0.83409,T2-nearmiss-RRA,new,-0.66755162574598,False,Transcription / chromatin (likely general),transcription by rna pol,True
EPB41L1,-0.61056,-2.5302,2.5302,0.13953,0.086482,-0.93669,-0.86542,T2-nearmiss-RRA,new,0.0808848021498426,False,Membrane–cortex mechanics,band 4\.1,False
TAF1D,-0.62139,-2.4989,2.4989,0.13854,0.075879,-1.0972,-0.66715,T2-nearmiss-RRA,new,-0.0433170628292194,False,Transcription / chromatin (likely general),dna-templated transcription,True
CCDC50,-0.62463,-2.4886,2.4886,0.13051,0.085987,-0.9933,-0.72689,T2-nearmiss-RRA,new,0.0903159241312042,False,Other / unclear,no keyword match,True
ID2,-0.59849,-2.4555,2.4555,0.15625,0.086482,-1.0682,-0.77548,T2-nearmiss-RRA,new,-0.1446314896365987,False,Transcription / chromatin (likely general),transcription by rna pol,True
SCAF8,-0.60985,-2.4005,2.4005,0.13953,0.051246,-1.0214,-0.75512,T2-nearmiss-RRA,new,-0.6526859330712984,False,Transcription / chromatin (likely general),dna-templated transcription,True
KANSL3,-0.71981,-2.39,2.39,0.074766,0.092036,-1.4168,-0.98856,T2-nearmiss-RRA,new,-1.4890404809065916,False,Transcription / chromatin (likely general),transcription by rna pol,True
DPP4,-0.50256,-2.3233,2.3233,0.26598,0.084526,-0.55499,-0.75819,T2-nearmiss-RRA,new,-0.0879022299950887,True,Polarized exocytosis & fusion,membrane fusion,False
PHACTR2,-0.43688,-2.3092,2.3092,0.35997,0.075087,-0.70632,-0.55242,T2-nearmiss-RRA,new,-0.0540381462943789,False,Actin & Rho signaling,actin cytoskeleton organization,False
SEPN1,-0.38885,-2.2061,2.2061,0.42221,0.067224,-0.45196,-0.68941,T2-nearmiss-RRA,new,0.1949950192883681,False,Other / unclear,no keyword match,True
DGCR2,-0.34111,-2.2035,2.2035,0.51371,0.056424,-0.436,-0.54931,T2-nearmiss-RRA,new,-0.4578760141317005,True,Other / unclear,no keyword match,True
KYNU,-0.4035,-2.1974,2.1974,0.39786,0.072702,-0.40143,-0.60658,T2-nearmiss-RRA,new,-0.0071810124198671,False,Other / unclear,no keyword match,True
NPAP1,-0.35405,-2.1481,2.1481,0.48986,0.097579,-0.42924,-0.57903,T2-nearmiss-RRA,new,0.019074310211874,False,Other / unclear,no keyword match,True
KIAA1199,-0.21956,-1.8104,1.8104,0.79539,0.095183,-0.37993,-0.27389,T2-nearmiss-RRA,new,-0.1218577022347992,False,Other / unclear,no keyword match,True
ATP6V1H,0.79768,1.2381,1.2381,0.0,0.067334,1.2398,1.1665,T2-nearmiss-RRA,new,-0.7440012404793414,False,Polarized exocytosis & fusion,synaptic vesicle,False
SARM1,0.69688,1.2879,1.2879,0.0,0.062172,1.25,0.9629,T2-nearmiss-RRA,new,,False,Other / unclear,no keyword match,True
RCOR3,0.72133,1.2907,1.2907,0.0,0.054613,1.0185,1.0035,T2-nearmiss-RRA,new,0.0483259940247987,False,Transcription / chromatin (likely general),transcription by rna pol,True
ACTA1,0.68896,1.303,1.303,0.0,0.097675,0.82039,1.0728,T2-nearmiss-RRA,new,-0.1312699096018963,False,Other / unclear,no keyword match,True
RAB7A,0.59165,1.3528,1.3528,0.03,0.0918,0.76499,1.0564,T2-nearmiss-RRA,new,-0.6249516888418815,False,Autophagy–secretion & DAMP,\bautophagosome\b,False
SMIM3,0.48395,1.4214,1.4214,0.090336,0.08941,0.87771,0.8457,T2-nearmiss-RRA,new,-0.1225692865578369,False,Other / unclear,no keyword match,True
PNPT1,0.45195,1.4229,1.4229,0.11031,0.062172,0.57951,0.58413,T2-nearmiss-RRA,new,-1.8339746368423528,False,Spliceosome / RNA processing (likely general),rna processing,True
ACTB,0.56058,1.4395,1.4395,0.050139,0.077873,0.79628,0.89011,T2-nearmiss-RRA,new,-0.4493373468381813,False,Cell polarity,cell polarity,False
CSNK2A1,0.44713,1.4499,1.4499,0.11324,0.069307,0.60651,0.64089,T2-nearmiss-RRA,new,-0.1272998638541786,False,Ubiquitin–proteasome / protein degradation,proteasom,False
TBC1D10C,0.49492,1.4536,1.4536,0.077951,0.076804,0.57191,0.87119,T2-nearmiss-RRA,new,-0.0842501540668218,False,Other / unclear,no keyword match,True
