Gene,MLE_beta,MLE_z,absz,MLE_fdr,rra_maxfdr,B_lfc,C_lfc,tier,origin,DepMap,surface,program,program_evidence,likely_general
AQP12A,-1.183,-3.1865,3.1865,0.006135,0.005016,-1.6363,-1.6425,T1-core,new,,False,Transport — ion channels & solute carriers,aquaporin,False
CACNG7,-1.1572,-3.1842,3.1842,0.006135,0.021988,-1.5916,-1.6278,T1-core,new,0.4061320801139938,True,Transport — ion channels & solute carriers,voltage-gated (potassium|sodium|calcium),False
EXOC5,-1.1828,-3.1802,3.1802,0.006135,0.010407,-2.03,-1.7825,T1-core,new,-0.1357269907622112,False,Polarized exocytosis & fusion,exocyst,False
TAP1,-1.1107,-3.1796,3.1796,0.0088889,0.031496,-1.3991,-1.5118,T1-core,new,-0.0475294792035615,False,Antigen processing & presentation (MHC-I),antigen process,False
COPS4,-1.142,-3.1791,3.1791,0.0088889,0.008294,-1.6637,-1.542,T1-core,new,-0.9642113837082956,False,COP9 signalosome / neddylation,cop9 signalosome,False
STX5,-1.1205,-3.1667,3.1667,0.0088889,0.007742,-1.6197,-1.8018,T1-core,new,-1.2567278577312926,False,ER-Golgi / COPII vesicular transport,endoplasmic reticulum to golgi,False
MBD3,-1.1239,-3.1523,3.1523,0.0088889,0.001753,-1.8253,-1.657,T1-core,new,-0.3504146480852859,False,Transcription / chromatin (likely general),transcription by rna pol,True
HSPH1,-1.2518,-3.1152,3.1152,0.0,0.003878,-1.8225,-1.5937,T1-core,new,-0.050312784545702,False,Antigen processing & presentation (MHC-I),mhc class i,False
ALDH1A3,-1.0863,-3.1137,3.1137,0.0088889,0.028785,-1.4108,-1.7837,T1-core,new,0.1766363216476724,False,Other / unclear,no keyword match,True
KCTD3,-1.2419,-3.0807,3.0807,0.0,0.023438,-1.9399,-2.2436,T1-core,new,0.2486254738141265,False,Other / unclear,no keyword match,True
PDHA1,-1.0169,-3.06,3.06,0.0088889,0.000198,-1.5062,-1.4456,T1-core,new,-0.4142662561617494,False,Other / unclear,no keyword match,True
PSMB8,-0.99556,-3.0274,3.0274,0.0088889,0.003803,-1.5179,-1.3161,T1-core,new,-0.0131925727578202,False,Ubiquitin–proteasome / protein degradation,proteasom,False
COPS5,-1.1251,-3.0273,3.0273,0.0088889,0.032816,-1.8477,-1.8531,T1-core,new,-1.9569219877945,False,COP9 signalosome / neddylation,cop9 signalosome,False
GDPGP1,-1.1549,-3.0113,3.0113,0.006135,0.006465,-1.9667,-1.7607,T1-core,new,0.0922771407492629,False,Other / unclear,no keyword match,True
RUNX3,-0.98223,-2.9917,2.9917,0.0088889,0.000198,-1.2904,-1.6116,T1-core,new,-0.0612026504585871,False,Transcription / chromatin (likely general),transcription by rna pol,True
GJD3,-1.0103,-2.9907,2.9907,0.0088889,0.002761,-1.7584,-1.308,T1-core,new,0.1166100366840667,False,Transport — ion channels & solute carriers,ion channel,False
CLK3,-1.0227,-2.9878,2.9878,0.0088889,0.015997,-1.2818,-1.5297,T1-core,new,-0.060137748238772,False,Spliceosome / RNA processing (likely general),rna splic,True
DHX15,-0.9929,-2.9872,2.9872,0.0088889,0.011892,-1.3791,-1.4054,T1-core,new,-1.3703993411580035,False,Spliceosome / RNA processing (likely general),spliceosom,True
TRAPPC12,-0.94992,-2.9823,2.9823,0.012712,0.000198,-1.4265,-1.3696,T1-core,new,0.2554948871258078,False,TRAPP tethering complex,trafficking protein particle,False
ADPGK,-1.0438,-2.9621,2.9621,0.0088889,0.044332,-1.9435,-1.5306,T1-core,new,0.0698235276476726,False,Metabolism / mitochondria (likely general),glycolytic,True
ZFYVE19,-1.005,-2.9597,2.9597,0.0088889,0.027796,-1.533,-1.2424,T1-core,new,-0.0789131685501263,False,Membrane lipid remodeling,phosphatidylinositol.*(phosphat|kinase),False
PIGA,-0.96652,-2.9501,2.9501,0.012712,0.004586,-1.3202,-1.4958,T1-core,new,0.0748709760868388,False,GPI-anchor & glycan surface display,gpi[ -]anchor,False
SLC9A6,-0.99097,-2.939,2.939,0.0088889,0.007316,-1.4151,-1.3678,T1-core,new,0.0803377308684079,True,Endosomal pH & recycling,sodium.*proton antiport,False
MTMR11,-0.98037,-2.9147,2.9147,0.0088889,0.003379,-1.3937,-1.4366,T1-core,new,-0.0613772076796259,False,Membrane lipid remodeling,myotubularin,False
TRAPPC13,-1.0089,-2.8799,2.8799,0.0088889,0.003768,-1.7435,-1.1732,T1-core,new,-0.0182257093821093,False,TRAPP tethering complex,trafficking protein particle,False
NEDD8,-0.94151,-2.8687,2.8687,0.015686,0.026992,-1.3616,-1.2214,T1-core,new,-2.463149094188054,False,COP9 signalosome / neddylation,neddylat,False
MATN1,-0.95819,-2.8685,2.8685,0.012712,0.038887,-1.1158,-1.7947,T1-core,new,-0.2421657005842056,False,Other / unclear,no keyword match,True
INTS4,-0.93907,-2.8456,2.8456,0.015686,0.035636,-1.5322,-1.2961,T1-core,new,,False,Spliceosome / RNA processing (likely general),rna processing,True
ALG1,-0.83179,-2.8368,2.8368,0.035144,0.000198,-1.1666,-1.147,T1-core,new,-0.4958784872234169,False,GPI-anchor & glycan surface display,n-linked glycosyl,False
EXOC4,-0.85955,-2.818,2.818,0.027027,0.000806,-1.4979,-1.163,T1-core,new,-0.0346251890768911,False,Polarized exocytosis & fusion,exocyst,False
ARRB1,-0.89523,-2.8032,2.8032,0.021505,0.010832,-0.96621,-1.5117,T1-core,new,-0.1176814649763436,False,Ubiquitin–proteasome / protein degradation,proteasom,False
GOLT1B,-0.89375,-2.7705,2.7705,0.021505,0.041384,-0.92166,-1.4891,T1-core,new,-0.0046945825874408,False,ER-Golgi / COPII vesicular transport,endoplasmic reticulum to golgi,False
WRB,-0.86758,-2.7647,2.7647,0.027027,0.001614,-1.3277,-1.0659,T1-core,new,-0.258438106744659,False,Membrane-protein biogenesis (ER/GET/ERAD),tail-anchored,False
RILP,-0.7343,-2.734,2.734,0.064516,0.000198,-1.0341,-1.0715,T1-core,new,0.0103394008358936,False,Endosomal pH & recycling,endosome to lysosome,False
DHDDS,-0.80579,-2.7335,2.7335,0.044776,0.027796,-1.1689,-1.0575,T1-core,new,-1.8288466617427133,False,GPI-anchor & glycan surface display,dolich,False
KIF13A,-0.8534,-2.7257,2.7257,0.03,0.003768,-1.234,-1.1873,T1-core,new,0.0336296869587688,False,Polarized exocytosis & fusion,golgi to plasma membrane,False
SEL1L,-0.73651,-2.6935,2.6935,0.064516,0.033786,-0.92679,-1.2063,T1-core,new,-0.0072075574900964,False,Ubiquitin–proteasome / protein degradation,ubiquitin ligase,False
DFFA,-0.80584,-2.6932,2.6932,0.044776,0.038892,-1.0937,-1.3302,T1-core,new,0.0686599560378044,False,Other / unclear,no keyword match,True
ALG2,-0.70409,-2.6729,2.6729,0.083871,0.003945,-0.99738,-0.96253,T1-core,new,-1.0833114521986031,False,GPI-anchor & glycan surface display,n-linked glycosyl,False
CD58,-0.7306,-2.6608,2.6608,0.07056,0.00221,-1.1853,-1.0569,T1-core,new,-0.2038385343923809,True,Surface sensing & adhesion,cell-cell adhesion,False
